Player,School,G,GS,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3P%,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,SOS
Andre Dawkins,Duke,142,25,17.4,2.3,5.4,.433,0.7,1.4,.508,1.6,4.0,.407,0.9,1.1,.769,0.2,1.4,1.6,0.5,0.4,0.1,0.6,7.1,8.60
Spencer Dinwiddie,Colorado,86,86,30.1,3.4,8.0,.420,2.0,4.6,.446,1.3,3.5,.386,4.9,5.9,.830,0.5,2.9,3.3,2.6,1.1,0.3,1.8,13.0,7.49
Larry Drew,5.0,0.2,3.5,1.9,12.9,,3.54,Missouri,,117,89,35.5,4.8,9.9,.479,2.5,3.3,.745,2.8,3.7,1.1,0.1,3.7,12.0,4.65
Cleanthony Early,Wichita State,75,58,26.2,4.9,10.5,.470,3.4,6.2,.555,1.5,4.3,.348,3.7,4.6,.819,1.8,3.8,5.7,0.7,0.8,0.8,1.7,15.1,3.91
James Ennis,Long Beach State,67,66,31.0,4.5,9.0,.493,3.0,4.9,.611,1.5,4.1,.354,2.8,3.6,.788,1.6,3.8,5.4,2.4,1.7,1.0,2.5,13.2,1.39
Tyler Ennis,Syracuse,34,34,35.7,4.4,10.6,.411,3.5,8.1,.429,0.9,2.5,.353,3.4,4.4,.765,0.8,2.6,3.4,5.5,2.1,0.2,1.7,12.9,7.25
Tim Frazier,Penn State,135,113,30.6,3.8,9.0,.418,3.2,7.2,.445,0.5,1.8,.310,3.4,4.3,.774,0.9,3.0,3.9,4.7,1.5,0.1,2.6,11.4,8.41
Langston Galloway,St. Joseph's,133,132,35.5,4.9,11.3,.438,2.4,5.2,.452,2.6,6.1,.426,2.5,3.1,.821,1.0,3.5,4.5,2.2,1.3,0.5,1.2,15.0,4.21
Aaron Gordon,Arizona,38,38,31.2,5.0,10.1,.495,4.6,8.9,.513,0.4,1.2,.356,2.0,4.7,.422,2.7,5.3,8.0,2.0,0.9,1.0,1.4,12.4,9.04
Drew Gordon,New Mexico,61,53,29.6,5.3,10.0,.535,5.3,10.0,.534,0.0,0.0,1.000,2.7,3.7,.722,3.2,7.6,10.8,1.0,0.9,1.1,2.3,13.4,
Jerami Grant,Syracuse,72,29,21.9,2.6,5.3,.486,2.5,5.1,.496,0.1,0.3,.300,2.2,3.5,.641,1.7,2.9,4.7,0.9,0.6,0.5,0.9,7.5,7.91
Erick Green,Virginia Tech,129,89,28.3,4.6,10.5,.437,3.5,7.3,.480,1.1,3.2,.338,3.2,4.0,.804,0.5,2.1,2.6,2.5,1.2,0.2,1.4,13.5,5.97
JaMychal Green,Alabama,123,114,27.2,5.0,9.6,.519,5.0,9.5,.524,0.0,0.1,.176,3.5,4.9,.711,3.0,4.4,7.4,1.2,1.0,1.7,2.5,13.5,5.52
P.J. Hairston,UNC,71,14,18.1,3.1,8.0,.388,1.3,2.9,.458,1.8,5.1,.349,2.0,2.5,.800,1.3,1.9,3.2,1.0,0.8,0.3,0.9,10.0,7.54
Gary Harris,Michigan State,69,67,31.0,5.0,11.4,.440,2.9,5.7,.503,2.1,5.6,.376,2.7,3.5,.788,1.0,2.3,3.3,2.0,1.6,0.3,1.6,14.9,9.96
Joe Harris,Central Arkansas,15,1,10.1,1.3,2.8,.452,0.7,1.2,.556,0.6,1.6,.375,0.0,0.3,.000,0.6,1.0,1.6,0.3,0.2,0.0,0.4,3.1,-4.83
Rodney Hood,Duke,35,33,32.9,5.5,11.8,.464,3.4,6.9,.494,2.0,4.8,.420,3.1,3.9,.807,0.8,3.1,3.9,2.1,0.7,0.3,1.5,16.1,
Cory Jefferson,Baylor,130,76,19.9,3.3,6.1,.543,3.2,5.7,.556,0.1,0.4,.340,2.2,3.3,.660,1.9,3.7,5.6,0.4,0.3,1.3,0.8,8.9,8.32
Grant Jerrett,Arizona,34,2,17.8,1.9,4.5,.409,0.9,2.2,.413,0.9,2.3,.405,0.5,0.6,.818,1.1,2.5,3.6,0.5,0.5,1.0,0.6,5.2,7.47
Nick Johnson,Arizona,108,101,30.9,4.1,9.7,.421,2.8,6.0,.459,1.3,3.7,.359,2.8,3.9,.734,0.6,3.1,3.7,2.8,1.3,0.6,1.8,12.3,7.04
Tyler Johnson,Centenary (LA),5,,,0.2,0.6,.333,0.0,0.4,.000,0.2,0.2,1.000,0.0,0.0,,,,0.6,0.2,0.2,0.0,0.0,0.6,-1.56
Sean Kilpatrick,Cincinnati,140,104,30.8,5.1,12.1,.419,2.8,5.6,.501,2.2,6.4,.347,3.0,3.8,.780,1.3,3.1,4.3,2.0,1.2,0.2,1.7,15.3,6.15
Alex Kirk,Washington State,4,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,7.39
Zach LaVine,UCLA,37,1,24.4,3.4,7.8,.441,2.1,4.3,.494,1.3,3.5,.375,1.3,1.8,.691,0.5,2.1,2.5,1.8,0.9,0.2,1.1,9.4,7.62
Kalin Lucas,Michigan State,141,119,30.3,4.8,11.2,.425,3.7,8.4,.442,1.1,2.8,.377,3.6,4.5,.796,0.6,1.4,1.9,4.0,1.0,0.1,2.3,14.2,9.22
James Michael McAdoo,UNC,108,73,25.0,4.3,9.7,.447,4.3,9.6,.451,0.0,0.1,.000,2.8,4.9,.569,2.1,3.8,5.9,1.0,1.2,0.5,1.6,11.4,7.83
K.J. McDaniels,Clemson,94,61,24.3,3.9,8.6,.450,3.0,5.8,.516,0.9,2.8,.313,2.4,3.2,.767,1.8,3.0,4.8,0.9,0.9,1.9,1.5,11.0,4.60
Doug McDermott,Creighton,145,145,31.5,7.9,14.3,.550,6.0,10.2,.587,1.9,4.1,.458,4.1,4.9,.831,1.9,5.6,7.5,1.3,0.2,0.1,2.2,21.7,4.29
Mitch McGary,Michigan,47,12,20.6,3.5,5.9,.588,3.5,5.9,.592,0.0,0.0,.000,0.8,1.6,.513,2.6,4.0,6.6,0.8,1.2,0.7,1.3,7.8,9.85
Jerel McNeal,Marquette,130,130,30.9,5.6,12.7,.440,4.3,9.0,.478,1.3,3.6,.347,2.8,4.0,.717,1.3,3.3,4.7,3.5,2.2,0.5,3.4,15.3,7.77
Elijah Millsap,Alabama-Birmingham,34,34,33.1,5.4,12.3,.435,4.8,10.0,.481,0.6,2.3,.241,4.8,6.9,.695,2.7,6.8,9.5,1.8,1.6,0.3,3.5,16.1,
Eric Moreland,Oregon State,89,58,25.0,2.7,5.0,.535,2.6,4.7,.546,0.1,0.3,.333,1.8,3.3,.531,2.4,6.2,8.6,1.3,0.8,2.1,1.8,7.2,4.64
Shabazz Napier,UConn,143,98,32.3,4.2,10.1,.411,2.3,5.3,.444,1.8,4.8,.375,3.6,4.4,.813,0.7,3.3,4.0,4.5,1.8,0.2,2.4,13.7,8.64
Nerlens Noel,Kentucky,24,24,31.9,4.1,6.9,.590,4.1,6.9,.590,0.0,0.0,,2.3,4.3,.529,2.7,6.8,9.5,1.6,2.1,4.4,1.9,10.5,5.78
Johnny O'Bryant,LSU,91,78,27.1,4.9,10.5,.467,4.8,10.2,.474,0.1,0.3,.222,2.8,4.6,.619,3.0,4.7,7.7,1.3,0.5,0.8,2.9,12.7,5.38
Jabari Parker,Duke,35,35,30.7,6.7,14.3,.473,5.7,11.2,.504,1.1,3.0,.358,4.6,6.1,.748,3.0,5.7,8.7,1.2,1.1,1.2,2.3,19.1,8.48
Adreian Payne,Michigan State,138,94,20.0,3.2,6.2,.526,2.8,5.1,.551,0.4,1.1,.409,2.0,2.7,.755,1.5,3.8,5.3,0.6,0.6,1.0,1.4,8.9,10.35
Elfrid Payton,Louisiana,100,78,31.6,5.0,10.3,.485,4.7,9.2,.512,0.3,1.1,.268,3.9,6.5,.611,1.5,3.6,5.1,4.9,2.0,0.5,3.4,14.3,-1.60
Dwight Powell,Stanford,136,105,26.2,3.8,8.2,.464,3.5,7.3,.484,0.2,0.8,.289,3.0,4.1,.722,1.7,4.6,6.3,1.8,0.9,0.9,2.1,10.8,6.38
Julius Randle,Kentucky,40,40,30.8,4.9,9.8,.501,4.8,9.3,.517,0.1,0.5,.167,5.1,7.2,.706,3.5,6.9,10.4,1.4,0.5,0.8,2.5,15.0,9.89
Glenn Robinson,Purdue,62,62,35.1,9.9,20.7,.479,8.1,16.0,.507,1.8,4.6,.385,5.9,7.7,.773,,,9.7,1.9,1.8,1.0,3.9,27.5,9.77
