Player,School,G,GS,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3P%,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,SOS
Arinze Onuaku,Syracuse,134,103,22.8,4.0,6.2,.648,4.0,6.2,.648,0.0,0.0,,1.1,2.9,.395,2.4,3.6,6.0,0.5,0.7,1.1,1.4,9.2,8.20
Mason Plumlee,Duke,141,99,25.9,3.7,6.5,.574,3.7,6.4,.578,0.0,0.1,.200,2.4,4.0,.583,2.4,5.4,7.7,1.5,0.8,1.4,2.0,9.8,8.87
Otto Porter,Georgetown,64,38,32.5,4.6,9.2,.498,3.7,6.8,.550,0.9,2.4,.355,2.8,3.8,.751,1.9,5.3,7.1,2.1,1.5,0.9,1.3,12.8,7.64
Phil Pressey,Missouri,99,81,29.7,3.2,8.2,.395,2.1,4.9,.429,1.2,3.3,.347,2.1,2.7,.757,0.6,2.3,3.0,5.9,2.0,0.1,2.7,9.7,6.06
Glen Rice,Michigan,134,105,29.8,7.5,13.1,.569,7.5,12.6,.591,1.3,2.8,.480,2.3,2.8,.797,,,6.4,2.0,0.8,0.3,1.8,18.2,9.85
Andre Roberson,Colorado,105,65,28.3,3.6,7.1,.516,3.2,5.7,.555,0.5,1.4,.350,1.9,3.2,.582,2.9,7.0,10.0,1.1,1.6,1.4,1.7,9.6,6.43
Peyton Siva,Louisville,144,113,26.2,2.9,6.9,.417,2.2,4.5,.482,0.7,2.4,.291,2.0,2.8,.737,0.3,2.1,2.4,4.7,1.8,0.1,2.7,8.4,8.58
Chris Smith,UConn,127,67,33.6,5.7,13.6,.421,3.8,8.9,.432,1.9,4.8,.400,3.5,4.6,.761,,,2.9,3.4,1.5,0.3,2.3,16.9,7.54
Tony Snell,New Mexico,104,76,24.8,3.0,7.1,.421,1.4,2.9,.480,1.6,4.2,.380,1.6,1.9,.821,0.4,2.0,2.4,2.0,0.5,0.3,1.5,9.2,4.95
James Southerland,Syracuse,112,13,18.7,2.9,6.5,.449,1.5,2.8,.553,1.4,3.7,.370,0.7,0.9,.740,0.8,2.5,3.3,0.6,0.9,0.8,0.6,7.9,8.15
D.J. Stephens,Memphis,129,35,13.2,1.6,2.6,.627,1.5,2.2,.669,0.1,0.4,.370,0.6,1.0,.633,1.2,2.1,3.4,0.3,0.5,1.2,0.4,4.0,3.69
Adonis Thomas,Memphis,55,44,27.5,4.1,9.5,.426,3.3,7.2,.458,0.7,2.3,.325,1.9,2.5,.745,1.3,2.8,4.0,1.5,0.6,0.7,1.5,10.7,3.98
Hollis Thompson,Georgetown,99,57,24.6,3.1,6.5,.478,1.8,3.6,.508,1.3,2.9,.440,1.2,1.7,.676,1.1,3.0,4.1,1.1,0.8,0.4,1.1,8.7,9.21
Casper Ware,Long Beach State,131,128,33.0,4.5,11.1,.402,2.8,6.5,.440,1.6,4.7,.349,3.5,4.4,.784,0.5,2.1,2.5,4.2,1.6,0.1,2.8,14.1,0.96
Royce White,Iowa State,34,33,31.5,5.1,9.6,.534,5.0,9.3,.541,0.1,0.4,.333,3.0,6.0,.498,2.5,6.8,9.3,5.0,1.2,0.9,3.8,13.4,7.32
Jeff Withey,Kansas,117,76,19.8,2.8,4.9,.568,2.8,4.9,.567,0.0,0.0,1.000,2.4,3.3,.726,1.6,3.8,5.4,0.6,0.5,2.7,1.2,8.0,8.34
Nate Wolters,South Dakota State,127,109,33.1,6.1,13.5,.450,4.8,9.9,.490,1.2,3.6,.342,5.1,6.4,.803,0.9,3.8,4.7,5.3,1.5,0.2,2.2,18.5,-3.55
Cody Zeller,Indiana,72,72,29.0,5.5,9.4,.592,5.5,9.3,.594,0.0,0.0,.000,5.0,6.6,.756,2.6,4.7,7.3,1.3,1.2,1.2,2.0,16.1,8.09
Quincy Acy,Baylor,139,66,25.1,3.6,6.0,.602,3.6,6.0,.604,0.0,0.1,.429,2.5,3.6,.708,2.2,3.8,6.0,0.6,0.7,1.3,1.5,9.8,7.20
Josh Akognon,Cal State Fullerton,64,64,33.6,7.2,17.0,.422,3.3,6.7,.485,3.9,10.3,.381,3.7,4.2,.895,0.6,2.7,3.3,1.5,1.2,0.1,2.2,22.0,
Harrison Barnes,UNC,75,73,29.3,5.8,13.6,.430,4.3,9.1,.469,1.5,4.4,.349,3.1,4.3,.734,2.0,3.5,5.5,1.3,0.9,0.4,1.9,16.3,8.61
Will Barton,Memphis,70,59,32.9,5.7,12.0,.471,4.6,8.4,.546,1.1,3.6,.299,2.7,3.7,.733,1.7,4.8,6.5,2.9,1.5,0.6,2.3,15.2,4.20
Aron Baynes,Washington State,122,86,22.0,3.2,5.9,.546,3.2,5.9,.547,0.0,0.0,.333,2.3,3.2,.698,1.7,3.6,5.4,0.3,0.3,0.8,1.2,8.7,6.91
Kent Bazemore,Old Dominion,140,103,26.3,3.7,8.3,.447,3.0,6.1,.486,0.7,2.1,.334,2.0,3.5,.581,1.4,3.2,4.6,2.7,1.8,0.5,2.3,10.1,0.42
Bradley Beal,Florida,37,37,34.2,4.7,10.6,.445,3.0,5.6,.541,1.7,5.0,.339,3.6,4.7,.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,14.8,7.33
Patrick Beverley,Arkansas,70,67,34.1,4.1,9.7,.420,2.1,4.6,.463,2.0,5.2,.382,2.8,3.9,.730,1.2,4.4,5.5,2.8,1.5,0.4,2.0,13.0,7.74
Chris Copeland,Colorado,113,42,17.0,2.5,5.9,.431,1.5,3.0,.497,1.0,2.9,.361,1.4,2.0,.701,1.2,2.6,3.8,1.0,0.4,0.8,1.2,7.5,7.06
Jae Crowder,Marquette,72,52,30.2,5.2,10.6,.492,3.8,6.5,.581,1.4,4.1,.350,2.7,4.0,.683,2.1,5.4,7.6,1.8,1.9,0.9,1.0,14.6,8.00
Jared Cunningham,Cleveland State,33,12,14.8,1.8,4.9,.377,1.1,2.6,.419,0.8,2.3,.329,0.7,1.0,.750,0.7,1.9,2.6,0.4,0.4,0.4,0.7,5.2,2.12
Anthony Davis,Austin Peay,124,115,30.1,4.9,11.6,.420,3.7,8.0,.470,1.1,3.6,.311,2.4,3.3,.728,1.4,3.0,4.4,2.3,1.6,0.3,2.0,13.3,-1.59
Andre Drummond,UConn,34,30,28.4,4.6,8.6,.538,4.6,8.5,.541,0.0,0.1,.000,0.8,2.6,.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,10.0,8.07
Kim English,Missouri,141,106,24.2,3.7,8.7,.420,2.0,4.4,.444,1.7,4.3,.394,2.1,2.9,.727,0.7,2.4,3.0,1.4,1.1,0.2,1.7,11.1,6.32
Festus Ezeli,Vanderbilt,121,67,17.9,2.7,4.9,.562,2.7,4.9,.562,0.0,0.0,,2.3,3.9,.584,1.8,2.7,4.5,0.1,0.3,1.7,1.6,7.7,6.64
Diante Garrett,Iowa State,128,99,30.9,3.9,9.7,.407,3.2,7.1,.447,0.8,2.6,.297,2.0,2.7,.729,0.3,2.5,2.8,4.8,1.2,0.2,2.8,10.7,6.64
Draymond Green,Michigan State,145,66,25.0,3.7,8.0,.467,3.1,6.3,.496,0.6,1.7,.361,2.3,3.4,.687,2.0,5.6,7.6,2.9,1.2,0.8,1.9,10.5,9.75
Ben Hansbrough,Notre Dame,69,69,35.4,4.7,10.0,.469,2.4,4.7,.517,2.2,5.2,.425,3.5,4.5,.780,0.8,3.1,3.9,4.3,1.1,0.1,2.1,15.1,
Maurice Harkless,St. John's (NY),32,32,36.1,6.0,13.3,.452,5.5,10.9,.506,0.5,2.5,.215,2.9,4.3,.676,2.8,5.9,8.6,1.5,1.6,1.4,2.5,15.5,6.98
John Henson,UNC,109,82,23.8,4.4,8.8,.497,4.3,8.5,.505,0.0,0.2,.208,1.6,3.2,.484,2.5,5.7,8.1,1.0,0.6,2.5,1.5,10.3,9.01
Justin Holiday,Washington,123,56,19.6,2.0,4.6,.443,1.6,3.3,.485,0.5,1.4,.343,0.7,1.0,.736,1.3,2.3,3.6,1.5,0.8,0.5,1.0,5.3,7.86
John Jenkins,Vanderbilt,98,74,30.6,5.3,11.2,.468,2.1,4.1,.521,3.1,7.1,.438,3.3,3.8,.856,0.4,2.3,2.7,1.1,0.7,0.3,1.3,16.9,7.59
Chris Johnson,Dayton,138,93,24.9,3.4,7.9,.427,1.7,3.3,.505,1.7,4.6,.371,2.1,2.6,.826,2.3,3.9,6.1,1.1,0.8,0.4,1.1,10.6,3.72
Orlando Johnson,UCSB,93,92,33.0,6.5,13.9,.468,4.5,9.1,.498,2.0,4.8,.411,4.7,6.3,.736,1.7,4.1,5.8,2.7,1.0,0.6,2.6,19.6,
Darius Johnson-Odom,Marquette,105,90,30.8,5.3,12.0,.444,3.2,6.7,.476,2.1,5.2,.403,3.0,4.1,.722,0.5,2.5,3.1,2.5,0.9,0.2,2.1,15.7,8.08
DeQuan Jones,Miami (FL),111,32,14.5,1.8,4.1,.440,1.7,3.6,.480,0.1,0.5,.169,0.9,1.4,.632,0.9,1.8,2.4,0.5,0.5,0.5,1.1,4.6,7.16
Kevin Jones,Bradley,9,0,1.1,0.0,0.1,.000,0.0,0.0,,0.0,0.1,.000,0.0,0.2,.000,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,3.24
Perry Jones,Baylor,63,62,32.2,5.5,10.5,.522,5.3,9.8,.539,0.2,0.7,.279,2.6,3.8,.678,2.7,4.7,7.4,1.2,0.7,0.7,2.0,13.7,6.41
Terrence Jones,Kentucky,76,69,30.4,5.0,10.8,.467,4.5,9.1,.493,0.6,1.7,.328,3.4,5.3,.638,2.5,5.5,8.0,1.5,1.2,1.8,1.8,14.0,8.42
Kris Joseph,Syracuse,140,77,26.6,3.5,7.8,.449,2.7,5.4,.501,0.8,2.4,.331,2.7,3.9,.702,1.3,3.2,4.5,1.5,1.3,0.5,1.6,10.5,8.37
Michael Kidd-Gilchrist,Kentucky,40,39,31.1,4.0,8.2,.491,3.7,6.9,.535,0.3,1.3,.255,3.6,4.8,.745,2.6,4.9,7.4,1.9,1.0,0.9,2.2,11.9,7.93
Doron Lamb,Kentucky,78,49,29.8,4.3,8.9,.485,2.5,5.0,.492,1.8,3.9,.475,2.6,3.2,.811,0.4,1.9,2.3,1.6,0.5,0.1,1.2,13.1,8.42
Jeremy Lamb,UConn,75,74,32.1,5.3,11.0,.482,3.8,6.6,.573,1.6,4.5,.348,1.9,2.4,.806,1.1,3.6,4.7,1.7,1.0,0.6,1.6,14.1,9.25
Meyers Leonard,Illinois,65,30,19.8,3.0,5.4,.567,3.0,5.2,.585,0.0,0.2,.083,1.6,2.2,.729,1.3,3.4,4.7,0.7,0.3,1.1,1.4,7.7,9.55
Damian Lillard,Weber State,104,98,32.3,5.6,12.6,.446,3.3,6.5,.497,2.4,6.1,.390,5.0,5.8,.867,0.4,3.9,4.3,3.5,1.2,0.2,2.4,18.6,-2.21
Scott Machado,Iona,132,125,31.4,4.0,9.3,.429,3.1,6.6,.466,0.9,2.7,.342,3.3,4.4,.740,0.8,3.1,3.9,6.7,1.4,0.1,3.3,12.2,-2.07
Kendall Marshall,UNC,73,55,28.8,2.5,5.6,.446,1.8,3.8,.484,0.7,1.8,.366,1.5,2.2,.693,0.2,2.2,2.3,8.0,1.1,0.1,2.6,7.2,8.61
Fab Melo,Syracuse,63,54,17.3,2.1,3.6,.576,2.1,3.6,.576,0.0,0.0,,0.7,1.3,.553,1.6,2.2,3.8,0.5,0.4,1.8,1.1,4.9,8.40
Khris Middleton,Texas A&M,87,72,26.0,3.9,9.1,.431,2.9,5.8,.494,1.1,3.3,.321,2.4,3.1,.768,1.5,3.0,4.6,2.0,1.0,0.2,2.0,11.3,7.42
Darius Miller,Kentucky,152,82,24.9,2.9,6.5,.448,1.8,3.5,.509,1.2,3.0,.379,1.2,1.5,.815,1.0,2.2,3.2,1.8,0.8,0.7,1.4,8.2,7.12
Quincy Miller,Baylor,37,35,24.4,3.7,8.4,.447,3.1,6.5,.475,0.6,1.9,.348,2.5,3.1,.816,1.5,3.5,4.9,1.4,0.7,0.6,1.8,10.6,8.03
Arnett Moultrie,Mississippi State,30,30,35.8,6.0,10.9,.549,5.7,10.3,.555,0.3,0.6,.444,4.1,5.3,.780,3.7,6.8,10.5,1.2,0.8,0.8,2.4,16.4,
Kevin Murphy,Tennessee Tech,128,109,29.0,5.5,12.5,.443,4.0,8.4,.476,1.5,4.0,.372,3.3,4.4,.734,0.8,3.3,4.2,1.9,0.8,0.2,3.0,15.8,-4.01
Andrew Nicholson,St. Bonaventure,123,118,29.9,6.6,11.4,.575,6.3,10.8,.586,0.2,0.6,.377,3.7,5.1,.720,2.2,5.0,7.2,0.7,0.5,2.0,2.4,17.1,1.35
Kyle O'Quinn,Norfolk State,129,98,27.5,4.7,8.6,.553,4.3,7.0,.620,0.4,1.6,.261,2.6,3.8,.685,2.6,5.9,8.5,0.9,0.5,2.2,2.0,12.5,-7.19
Miles Plumlee,Duke,135,58,15.8,1.9,3.5,.557,1.9,3.5,.557,0.0,0.0,1.000,0.9,1.5,.625,1.8,3.0,4.8,0.3,0.5,0.6,1.0,4.8,8.75
Austin Rivers,Duke,34,33,33.2,5.1,11.8,.433,3.4,7.1,.477,1.7,4.7,.365,3.6,5.4,.658,0.6,2.8,3.4,2.1,1.0,0.0,2.3,15.5,8.40
Brian Roberts,Dayton,125,94,31.2,5.2,11.5,.452,2.9,6.2,.462,2.3,5.3,.441,2.9,3.4,.849,0.3,2.6,3.0,2.8,0.5,0.1,2.2,15.7,2.11
Terrence Ross,Washington,69,39,24.4,4.6,10.1,.453,2.9,5.5,.528,1.7,4.6,.364,1.4,1.8,.764,1.1,3.5,4.7,1.2,0.9,0.7,1.4,12.3,6.51
Robert Sacre,Gonzaga,136,111,21.7,3.0,6.0,.504,3.0,5.9,.505,0.0,0.0,.250,3.3,4.5,.735,1.8,3.2,5.0,0.7,0.5,1.4,1.6,9.3,3.36
Mike Scott,Eastern Kentucky,55,33,22.9,1.9,5.0,.389,1.5,3.6,.429,0.4,1.4,.286,1.9,2.8,.677,1.5,2.1,3.5,2.0,1.3,0.1,1.6,6.2,-5.05
Henry Sims,Georgetown,121,34,15.1,1.8,3.7,.479,1.8,3.6,.493,0.0,0.1,.118,1.3,2.0,.654,0.9,2.2,3.2,1.4,0.3,0.8,1.3,4.9,9.15
Kyle Singler,Duke,148,147,33.0,5.5,12.7,.433,3.7,7.7,.479,1.8,5.0,.363,3.4,4.3,.773,2.4,4.4,6.9,2.0,1.1,0.7,2.1,16.2,8.97
Jared Sullinger,Ohio State,74,72,31.0,6.1,11.5,.530,5.8,10.8,.541,0.3,0.7,.365,4.9,6.7,.733,3.3,6.4,9.7,1.2,1.1,0.8,1.8,17.3,8.73
Jeffery Taylor,Vanderbilt,134,133,29.3,5.0,10.3,.483,4.1,7.9,.520,0.9,2.4,.358,3.4,4.9,.693,2.1,3.5,5.6,1.9,1.1,0.4,2.3,14.2,6.64
Tyshawn Taylor,Kansas,146,126,27.7,3.8,7.9,.477,3.0,5.7,.518,0.8,2.2,.370,2.5,3.5,.708,0.3,1.9,2.2,3.9,1.2,0.2,2.6,10.8,8.42
Marquis Teague,Kentucky,40,40,32.6,3.6,8.8,.412,3.0,6.8,.438,0.7,2.0,.325,2.1,3.0,.714,0.4,2.1,2.5,4.8,0.9,0.3,2.7,10.0,7.93
Jarvis Varnado,Mississippi State,141,119,25.5,3.9,6.6,.589,3.9,6.6,.591,0.0,0.0,.250,2.2,3.6,.595,2.5,5.3,7.8,0.6,0.5,4.0,1.4,10.0,5.47
Dion Waiters,Syracuse,71,0,20.4,3.5,7.7,.453,2.5,4.9,.513,1.0,2.8,.348,1.8,2.3,.753,0.4,1.5,1.9,2.0,1.5,0.2,1.1,9.7,8.40
Maalik Wayns,Villanova,95,56,25.9,4.0,9.7,.412,3.0,6.3,.478,1.0,3.4,.291,3.6,4.2,.848,0.5,2.2,2.7,3.4,0.9,0.0,2.3,12.5,7.87
Chris Wright,Dayton,123,116,27.0,4.8,9.8,.489,4.6,8.9,.515,0.2,0.9,.229,3.2,4.8,.662,2.4,4.8,7.2,1.2,0.8,1.3,2.5,13.0,3.66
Tony Wroten,Washington,35,27,30.3,5.7,12.8,.443,5.4,11.2,.483,0.3,1.6,.161,4.4,7.5,.583,2.3,2.7,5.0,3.7,1.9,0.4,3.8,16.0,5.27
Luke Zeller,Notre Dame,128,32,13.2,1.5,3.7,.417,0.7,1.4,.511,0.8,2.3,.360,0.3,0.5,.574,0.8,1.7,2.5,0.6,0.2,0.3,0.6,4.2,6.85
Tyler Zeller,UNC,117,75,23.0,4.7,8.6,.543,4.7,8.6,.544,0.0,0.0,.000,3.5,4.5,.775,2.7,4.0,6.7,0.6,0.7,1.1,1.4,12.8,8.85
Lavoy Allen,Temple,135,130,32.2,4.4,8.2,.534,4.2,7.7,.549,0.1,0.5,.288,1.6,2.4,.671,3.0,5.5,8.5,2.1,0.5,1.6,1.4,10.5,4.24
Keith Benson,Oakland,135,126,26.8,5.1,9.1,.558,5.0,8.9,.562,0.1,0.2,.379,3.9,5.7,.679,2.5,5.7,8.2,0.7,0.5,2.7,1.4,14.1,-1.32
MarShon Brooks,Providence,113,56,25.3,5.2,11.2,.464,3.8,7.0,.543,1.4,4.2,.333,2.6,3.6,.739,1.6,2.7,4.3,1.5,1.1,0.7,1.8,14.4,7.44
Alec Burks,Colorado,68,67,30.9,6.2,12.6,.495,5.5,10.4,.533,0.7,2.2,.313,5.9,7.3,.804,2.2,3.6,5.8,2.4,1.1,0.4,2.3,19.0,6.65
Jimmy Butler,Marquette,106,69,29.6,3.7,7.2,.508,3.3,6.4,.525,0.3,0.9,.383,4.3,5.6,.773,2.3,3.1,5.5,1.7,1.1,0.5,1.0,12.0,8.21
Derrick Byars,Vanderbilt,64,64,31.5,5.3,11.3,.467,3.0,5.7,.531,2.2,5.5,.400,2.1,2.9,.713,1.2,3.0,4.3,3.3,1.2,0.2,2.4,14.8,
Norris Cole,Cleveland State,140,106,29.4,4.8,11.1,.435,3.8,8.0,.480,1.0,3.1,.321,3.5,4.2,.826,0.6,2.5,3.2,3.3,1.5,0.1,2.0,14.1,1.92
Justin Dentmon,Washington,133,102,27.3,3.4,8.0,.428,2.4,5.2,.471,1.0,2.9,.349,2.8,3.6,.789,1.0,2.1,3.2,3.0,1.4,0.1,2.3,10.7,7.16
Jerome Dyson,UConn,113,106,30.4,4.6,11.9,.390,3.4,8.1,.423,1.2,3.8,.318,4.0,5.4,.735,1.1,2.8,3.9,2.9,1.7,0.5,2.8,14.4,7.64
Kenneth Faried,Morehead State,136,122,29.1,5.8,10.1,.569,5.7,10.0,.572,0.0,0.1,.250,3.2,5.6,.583,4.4,7.9,12.3,0.9,1.7,1.8,2.2,14.8,-4.03
Jeff Foote,Cornell,87,64,26.5,4.2,7.4,.573,4.2,7.4,.573,0.0,0.0,,2.6,4.3,.603,2.1,5.2,7.3,2.1,0.4,1.8,2.0,11.0,-3.22
Courtney Fortson,Arkansas,47,46,33.0,5.3,13.4,.397,4.1,9.6,.431,1.2,3.8,.311,4.1,6.1,.677,1.6,3.8,5.4,5.9,1.2,0.1,4.7,16.0,4.49
Jimmer Fredette,BYU,139,102,29.6,6.0,13.3,.455,3.9,7.8,.497,2.1,5.4,.394,4.5,5.1,.882,0.5,2.1,2.6,3.7,1.2,0.1,2.5,18.7,3.56
Mickell Gladness,Alabama A&M,85,83,26.8,2.6,5.8,.442,2.6,5.8,.445,0.0,0.0,.000,2.1,3.2,.667,1.6,5.4,7.0,0.5,0.6,4.7,1.6,7.3,-11.93
Andrew Goudelock,College of Charleston,140,124,32.8,6.8,14.9,.457,4.0,8.1,.494,2.8,6.8,.413,1.9,2.2,.838,0.6,2.7,3.3,3.0,0.9,0.3,2.2,18.4,-2.92
Jordan Hamilton,Lehigh,93,38,14.8,1.5,3.5,.425,0.9,1.6,.547,0.6,1.9,.324,0.7,1.0,.753,0.5,0.9,1.4,0.5,0.3,0.3,0.7,4.3,-6.72
Justin Harper,Richmond,137,96,22.9,3.9,8.1,.483,2.6,4.7,.557,1.3,3.4,.382,1.5,2.1,.711,1.4,3.3,4.8,0.7,0.6,0.8,1.3,10.6,2.46
Josh Harrellson,Kentucky,94,40,15.8,2.0,3.6,.549,1.9,3.3,.571,0.1,0.3,.310,0.6,1.0,.649,1.9,2.8,4.7,0.4,0.5,0.9,0.6,4.7,6.85
Terrel Harris,Oklahoma State,134,89,26.4,3.3,7.5,.440,2.1,4.3,.494,1.1,3.1,.366,2.1,2.6,.815,1.1,2.8,3.8,1.5,1.3,0.2,2.1,9.8,7.03
Tobias Harris,Tennessee,34,33,29.2,5.4,11.8,.460,4.8,9.6,.497,0.7,2.2,.303,3.8,5.0,.753,2.0,5.3,7.3,1.3,0.7,0.9,1.8,15.3,8.73
Cory Higgins,Colorado,132,131,33.9,4.9,10.6,.467,4.0,7.9,.509,0.9,2.7,.347,4.3,5.2,.825,0.7,3.4,4.1,2.4,1.5,0.4,2.3,15.2,6.28
Darington Hobson,New Mexico,35,35,33.6,5.5,12.5,.440,4.4,9.5,.465,1.1,3.1,.361,3.7,5.7,.653,2.1,7.1,9.3,4.6,1.3,0.4,3.0,15.9,3.84
Tyler Honeycutt,UCLA,59,51,31.7,3.6,8.4,.431,2.5,5.3,.473,1.1,3.1,.359,2.0,2.9,.684,1.7,5.2,6.9,2.8,1.2,1.7,2.8,10.3,7.90
Dennis Horner,NC State,128,46,20.3,2.3,4.9,.468,1.6,3.1,.535,0.7,1.9,.358,1.5,2.0,.781,0.9,2.0,2.9,0.9,0.5,0.5,0.9,6.8,7.87
Kyrie Irving,Duke,11,8,27.5,5.0,9.5,.529,3.4,5.9,.569,1.6,3.5,.462,5.8,6.5,.901,0.5,2.8,3.4,4.3,1.5,0.5,2.5,17.5,8.31
Reggie Jackson,Boston College,99,52,28.0,4.6,9.9,.465,3.4,6.4,.527,1.2,3.5,.351,2.3,3.0,.753,1.4,3.0,4.4,3.5,0.8,0.5,2.1,12.7,7.25
Charles Jenkins,Hofstra,128,128,35.9,6.6,14.5,.456,5.2,10.8,.482,1.4,3.7,.382,5.0,6.2,.811,1.0,3.3,4.3,3.8,1.7,0.6,3.0,19.6,-1.45
Carldell Johnson,Alabama-Birmingham,96,85,28.7,2.0,4.8,.405,1.0,2.5,.409,0.9,2.4,.401,0.8,1.1,.716,0.6,1.7,2.3,5.0,2.3,0.0,1.6,5.7,3.99
Ivan Johnson,Oregon,28,6,16.1,2.9,5.9,.500,2.9,5.7,.513,0.0,0.1,.000,1.6,2.5,.634,1.0,2.2,3.2,0.4,0.9,0.3,1.7,7.5,6.85
JaJuan Johnson,Purdue,140,119,27.5,5.0,10.1,.501,4.9,9.6,.512,0.1,0.4,.250,3.5,4.7,.743,2.0,4.1,6.1,0.7,0.7,1.9,1.3,13.7,7.64
Jerome Jordan,Tulsa,133,119,24.2,4.1,7.2,.567,4.1,7.2,.567,0.0,0.0,,3.1,4.5,.696,2.2,5.2,7.4,0.8,0.4,2.5,2.0,11.3,2.63
Cory Joseph,Texas,36,36,32.4,3.8,8.9,.422,2.3,5.4,.429,1.4,3.5,.413,1.4,2.0,.699,0.6,2.9,3.6,3.0,1.0,0.3,1.5,10.4,7.96
D.J. Kennedy,St. John's (NY),129,125,30.4,3.7,8.4,.436,2.7,5.8,.472,0.9,2.6,.358,3.3,4.5,.746,1.7,4.4,6.1,2.4,1.4,0.5,2.1,11.7,8.21
Brandon Knight,Kentucky,38,38,35.9,5.7,13.5,.423,3.4,7.4,.461,2.3,6.1,.377,3.6,4.5,.795,0.7,3.4,4.0,4.2,0.7,0.2,3.2,17.3,8.91
Malcolm Lee,UCLA,94,65,26.7,3.3,7.5,.441,2.6,4.8,.533,0.8,2.7,.278,2.3,3.2,.717,0.8,2.2,3.0,2.0,0.8,0.2,1.7,9.7,7.66
Kawhi Leonard,San Diego State,70,69,31.9,5.4,12.0,.449,4.8,9.7,.497,0.6,2.3,.250,2.8,3.7,.744,3.3,6.9,10.2,2.2,1.4,0.6,2.2,14.1,5.29
Travis Leslie,Georgia,90,68,26.1,4.6,9.6,.482,4.4,9.0,.492,0.2,0.6,.333,2.7,3.7,.743,2.7,3.4,6.1,2.1,1.1,0.7,2.0,12.2,6.56
Jon Leuer,Wisconsin,123,68,22.8,4.2,8.7,.482,3.4,6.5,.521,0.8,2.2,.368,2.0,2.7,.723,1.3,3.2,4.5,1.1,0.4,0.7,1.2,11.2,8.06
DeAndre Liggins,Kentucky,100,29,21.9,1.9,4.8,.407,1.3,2.9,.455,0.6,1.9,.332,1.3,2.0,.643,0.5,2.5,3.0,2.1,0.9,0.5,1.5,5.8,6.85
Shelvin Mack,Butler,108,107,31.2,4.8,11.4,.419,2.8,5.8,.480,2.0,5.6,.357,2.6,3.4,.755,0.8,3.4,4.2,3.3,1.1,0.1,2.2,14.1,4.05
Vernon Macklin,Florida,71,69,24.8,4.9,8.2,.599,4.9,8.2,.599,0.0,0.0,,1.3,2.6,.511,2.4,3.0,5.5,0.8,0.5,0.8,1.5,11.1,
E'Twaun Moore,Purdue,140,135,32.3,5.6,12.7,.440,3.8,8.1,.473,1.7,4.6,.380,2.4,3.3,.729,1.1,3.3,4.4,2.9,1.2,0.4,2.1,15.3,7.64
Darius Morris,Michigan,67,53,29.8,3.8,8.0,.469,3.4,6.5,.528,0.3,1.5,.223,2.0,2.9,.695,0.7,2.3,2.9,4.8,0.8,0.1,2.3,9.9,10.03
Marcus Morris,Kansas,109,90,24.0,4.7,8.4,.555,4.3,7.3,.585,0.4,1.1,.358,2.9,4.3,.660,2.4,3.8,6.2,1.3,0.9,0.4,1.6,12.6,7.92
Markieff Morris,Kansas,109,43,19.3,3.1,5.7,.553,2.8,4.8,.579,0.3,0.9,.404,1.9,2.9,.653,2.0,4.1,6.1,1.2,0.6,0.9,1.6,8.5,7.92
Daniel Orton,Kentucky,38,0,13.2,1.3,2.4,.527,1.3,2.3,.539,0.0,0.1,.000,0.9,1.7,.524,1.2,2.1,3.3,0.4,0.6,1.4,1.0,3.4,6.82
Jeremy Pargo,Gonzaga,134,103,28.7,3.4,7.3,.465,2.9,5.5,.515,0.6,1.8,.311,1.9,2.7,.704,0.5,2.9,3.4,4.4,1.3,0.1,2.7,9.3,3.62
Chandler Parsons,Florida,142,81,27.9,3.7,7.8,.477,2.6,4.6,.575,1.1,3.2,.337,1.7,2.8,.611,1.9,4.1,6.0,2.4,0.9,0.3,1.6,10.2,5.90
Ryan Reid,Florida State,126,66,20.2,1.9,3.8,.495,1.9,3.8,.494,0.0,0.0,1.000,1.2,2.0,.604,1.7,2.2,3.9,0.7,0.5,0.6,1.6,5.0,7.66
Walker Russell,,Western Michigan,,46,,,7.4,15.5,.476,,,,,,,3.7,4.5,.808,4.0,,,,,18.4,
Josh Selby,Kansas,26,11,20.4,2.8,7.4,.373,1.5,3.8,.384,1.3,3.6,.362,1.1,1.4,.757,0.4,1.8,2.2,2.2,0.8,0.0,2.0,7.9,7.62
Iman Shumpert,Georgia Tech,92,91,31.3,4.2,10.6,.396,3.0,6.7,.450,1.2,4.0,.305,3.1,4.1,.738,1.1,3.4,4.5,4.2,2.3,0.2,3.0,12.7,7.34
Xavier Silas,Northern Illinois,51,51,31.8,6.3,14.8,.421,4.2,9.2,.458,2.0,5.6,.361,6.5,7.8,.831,1.1,3.8,4.9,1.7,1.0,0.4,3.2,21.0,
Chris Singleton,Florida State,95,91,29.1,3.5,8.4,.419,2.4,5.1,.476,1.1,3.3,.330,2.1,3.5,.592,2.0,4.2,6.2,1.5,1.9,1.4,2.4,10.3,7.05
