2P,2PA,2PP,3P,3P%,3PA,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,G,GS,MP,ORB,PF,PTS,Player,SOS,STL,School,TOV,TRB,year
2.9,6.4,.458,0.7,.338,2.1,1.2,0.4,2.8,3.6,8.5,.428,2.1,3.4,.616,37,37,24.8,0.9,,10.0,Hamidou Diallo,10.73,0.8,Kentucky,1.4,3.6,2019
2.0,3.6,.573,1.5,.378,4.0,2.4,0.2,2.9,3.6,7.6,.469,1.6,2.2,.705,85,12,25.4,1.1,,10.2,Donte DiVincenzo,9.74,0.9,Villanova,1.6,4.0,2019
3.2,6.5,.490,0.8,.290,2.9,5.6,0.1,1.4,4.0,9.4,.428,1.4,2.4,.596,37,34,29.8,0.5,,10.3,Trevon Duval,9.71,1.5,Duke,2.8,2.0,2019
0.6,1.5,.416,0.0,.000,0.1,1.0,0.1,,0.6,1.5,.390,0.2,0.5,.423,53,,,,,1.4,Vince Edwards,,0.3,Western Kentucky,,1.0,2019
4.7,7.8,.598,0.0,,0.0,0.9,1.7,4.6,4.7,7.8,.598,2.4,3.5,.693,96,94,28.3,1.9,,11.7,Drew Eubanks,6.57,0.5,Oregon State,2.0,6.6,2019
2.4,5.0,.476,1.7,.377,4.4,2.5,0.9,3.0,4.0,9.4,.429,2.0,2.7,.755,105,80,29.1,1.3,,11.7,Jacob Evans,4.75,1.1,Cincinnati,1.3,4.3,2019
3.0,5.2,.572,0.9,.312,2.8,1.7,0.5,3.2,3.8,7.9,.481,2.1,3.2,.653,94,69,27.7,1.2,,10.6,Melvin Frazier,3.37,1.6,Tulane,2.0,4.4,2019
2.6,6.1,.423,1.1,.323,3.5,3.5,0.2,2.4,3.7,9.6,.386,4.5,5.4,.841,125,119,29.2,0.3,,13.1,Billy Garrett,7.77,0.9,DePaul,2.6,2.7,2019
1.7,3.0,.577,0.0,,0.0,0.3,0.7,2.3,1.7,3.0,.577,0.5,0.9,.500,26,6,11.5,1.6,,3.9,Harry Giles,10.91,0.3,Duke,0.7,3.8,2019
4.3,8.6,.500,0.6,.404,1.5,5.1,0.5,3.2,4.9,10.2,.485,3.9,4.7,.817,37,24,33.7,0.9,,14.4,Shai Gilgeous-Alexander,10.73,1.6,Kentucky,2.7,4.1,2019
5.1,8.7,.582,1.4,.314,4.5,4.4,0.1,4.1,6.5,13.3,.490,4.1,5.4,.769,68,67,32.5,1.0,,18.5,Brandon Goodwin,,1.3,Florida Gulf Coast,2.5,5.0,2019
1.8,4.0,.437,2.1,.409,5.1,4.5,0.1,2.7,3.8,9.1,.422,2.5,3.2,.787,142,111,31.7,0.4,,12.3,Devonte' Graham,11.86,1.4,Kansas,1.9,3.1,2019
2.1,4.3,.494,1.4,.333,4.2,1.9,0.7,3.4,3.5,8.5,.414,1.2,1.6,.726,114,113,30.2,1.4,,9.6,Donte Grantham,8.32,0.9,Clemson,1.5,4.8,2019
2.8,5.7,.486,2.3,.410,5.6,1.1,0.1,1.5,5.0,11.2,.448,3.1,3.4,.889,68,43,25.8,0.6,,15.4,Dusty Hannahs,,0.5,Arkansas,1.5,2.0,2019
2.9,6.2,.469,1.8,.422,4.2,4.7,0.2,2.7,4.7,10.5,.450,3.1,3.9,.795,101,65,31.8,0.5,,14.3,Aaron Holiday,7.65,1.2,UCLA,3.0,3.2,2019
2.1,3.6,.572,2.1,.394,5.4,3.0,0.7,4.2,4.2,9.0,.466,1.5,2.0,.748,65,65,31.9,0.8,,12.0,Kevin Huerter,8.11,0.8,Maryland,1.9,5.0,2019
1.0,2.1,.473,0.0,,0.0,0.2,0.6,1.5,1.0,2.1,.473,0.4,0.7,.650,61,2,8.6,1.2,,2.4,Isaac Humphries,9.67,0.2,Kentucky,0.4,2.7,2019
3.6,7.1,.508,0.6,.353,1.8,2.1,0.2,4.3,4.3,8.9,.476,2.9,4.2,.687,123,89,24.0,1.1,,12.0,Chandler Hutchison,2.57,1.0,Boise State,1.9,5.5,2019
1.8,3.8,.472,0.0,,0.0,0.3,1.0,,1.8,3.8,.472,1.5,2.7,.550,52,,,,,5.0,Frank Jackson,-6.08,0.2,Georgia Southern,,4.3,2019
2.6,5.4,.477,0.8,.365,2.1,1.2,0.2,,2.9,6.4,.444,1.2,1.7,.709,130,40,16.5,,,7.5,Jaren Jackson,8.40,1.0,Georgetown,1.3,2.9,2019
2.8,4.6,.620,0.0,,0.0,0.9,0.9,3.9,2.8,4.6,.620,1.5,2.6,.575,150,103,22.3,2.4,,7.2,Amile Jefferson,9.88,0.6,Duke,0.9,6.3,2019
3.9,7.5,.523,1.2,.325,3.8,2.4,0.3,7.9,5.2,11.3,.457,3.3,4.6,.716,66,66,30.7,3.2,,14.9,Alize Johnson,0.82,0.5,Missouri State,2.3,11.1,2019
0.1,0.3,.300,0.0,.000,0.2,0.1,0.0,0.2,0.1,0.6,.188,0.3,0.4,.692,29,1,4.9,0.1,,0.5,B.J. Johnson,6.46,0.3,Villanova,0.3,0.4,2019
4.3,7.8,.547,0.1,.138,1.0,3.1,0.6,7.5,4.4,8.8,.503,1.4,2.5,.573,68,33,26.4,3.3,,10.4,Jemerrio Jones,-2.46,1.1,New Mexico State,2.2,10.8,2019
2.1,4.3,.478,1.4,.401,3.6,0.7,0.3,3.9,3.5,7.9,.444,1.8,2.4,.731,127,89,22.6,1.4,,10.2,George King,7.36,0.4,Colorado,1.5,5.4,2019
3.8,7.4,.509,1.5,.341,4.5,1.4,0.3,4.5,5.3,11.9,.445,3.4,4.4,.774,37,37,32.4,0.9,,15.6,Kevin Knox,10.73,0.8,Kentucky,2.3,5.4,2019
3.9,7.5,.526,2.6,.380,6.9,1.7,0.1,3.9,6.6,14.4,.456,4.3,5.6,.772,33,31,31.9,1.1,,20.1,Zach Lofton,,1.1,New Mexico State,2.2,5.0,2019
1.5,3.4,.427,0.5,.259,1.9,1.8,0.1,2.8,2.0,5.4,.367,1.5,2.2,.661,28,13,21.0,0.7,,5.9,Jordan Loyd,-4.60,0.5,Furman,1.6,3.5,2019
2.3,4.6,.500,2.1,.405,5.2,3.1,0.1,2.3,4.4,9.9,.450,4.1,4.7,.871,71,51,28.0,0.5,,15.1,Daryl Macon,9.22,1.1,Arkansas,1.8,2.8,2019
2.2,4.2,.532,1.3,.352,3.7,2.1,0.2,2.1,3.5,7.8,.448,2.3,2.8,.798,141,79,25.0,1.1,,10.6,J.P. Macura,9.72,1.2,Xavier,1.5,3.2,2019
4.7,9.5,.493,0.5,.403,1.1,1.0,1.6,4.3,5.1,10.6,.483,4.0,5.4,.755,128,97,27.9,2.6,,14.7,Yante Maten,9.05,0.4,Georgia,1.9,6.9,2019
4.1,8.4,.486,0.5,.266,1.9,4.0,0.4,3.5,4.6,10.3,.445,4.8,6.9,.699,58,55,31.0,1.5,,14.5,Tahjere McCall,,2.6,Tennessee State,3.4,5.1,2019
2.2,4.4,.510,0.6,.284,2.1,3.5,1.0,3.3,2.8,6.4,.437,2.1,3.0,.706,36,25,27.0,1.4,,8.3,De'Anthony Melton,6.40,1.9,USC,1.8,4.7,2019
4.6,8.5,.545,0.1,.302,0.4,1.2,1.6,4.5,4.8,8.9,.533,2.7,3.9,.692,104,71,27.0,1.8,,12.3,Chimezie Metu,6.78,0.7,USC,1.7,6.3,2019
1.4,3.0,.455,1.7,.409,4.3,1.5,0.2,1.8,3.1,7.3,.428,0.7,1.0,.746,136,70,22.6,0.7,,8.7,Sviatoslav Mykhailiuk,11.86,0.7,Kansas,1.1,2.5,2019
