2P,2PA,2PP,3P,3P%,3PA,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,G,GS,MP,ORB,PF,PTS,Player,SOS,STL,School,TOV,TRB,year
1.5,2.8,.541,0.8,.353,2.3,1.0,0.2,2.1,2.3,5.1,.457,1.6,2.1,.752,95,63,20.2,0.7,,7.1,Reggie Hearn,7.17,0.6,Northwestern,1.2,2.8,2018
4.2,7.8,.538,0.8,.371,2.3,1.1,0.4,3.7,5.0,10.1,.500,1.9,2.7,.706,63,63,28.5,2.1,,12.8,Myke Henry,,1.0,DePaul,2.3,5.8,2018
2.8,4.9,.577,0.0,.167,0.0,0.7,0.5,2.2,2.8,4.9,.573,1.8,2.5,.725,151,45,16.2,1.5,,7.4,Isaiah Hicks,10.66,0.3,UNC,1.1,3.6,2018
3.6,7.4,.493,2.0,.355,5.6,1.2,0.3,3.9,5.6,12.9,.434,4.0,4.9,.807,129,108,32.5,1.7,,17.1,John Holland,-4.23,1.6,Boston University,1.9,5.6,2018
4.9,8.9,.544,0.1,.333,0.2,1.5,0.9,5.4,4.9,9.1,.540,3.7,6.1,.604,67,58,27.1,2.5,,13.6,Vince Hunter,-0.23,1.0,UTEP,2.4,7.9,2018
2.5,6.2,.401,2.2,.385,5.8,1.7,0.1,3.6,4.7,12.1,.393,2.3,2.9,.787,118,117,33.2,0.9,,14.0,Andre Ingram,-5.01,1.0,American,1.8,4.5,2018
3.1,5.2,.593,1.0,.348,2.8,1.2,1.5,6.1,4.1,8.0,.508,2.9,3.7,.780,32,32,26.2,1.8,,12.0,Jonathan Isaac,8.87,1.2,Florida State,1.5,7.8,2018
2.8,5.8,.488,0.4,.338,1.1,2.8,0.4,3.5,3.2,6.9,.463,2.6,3.8,.688,132,123,28.2,1.2,,9.5,Wesley Iwundu,9.51,0.9,Kansas State,2.1,4.7,2018
3.5,5.8,.599,0.9,.342,2.5,4.2,0.1,2.9,4.4,8.4,.521,2.3,3.0,.772,120,101,31.6,1.6,,11.9,Aaron Jackson,1.48,1.4,Duquesne,2.3,4.5,2018
3.2,6.1,.530,0.0,,0.0,1.0,0.4,3.1,3.2,6.1,.530,1.5,2.6,.577,30,8,17.6,1.6,,8.0,Josh Jackson,,0.2,South Carolina State,2.3,4.7,2018
0.0,0.3,.000,0.0,,0.0,0.0,0.0,0.2,0.0,0.3,.000,0.0,0.3,.000,6,3,1.3,0.3,,0.0,Justin Jackson,8.12,0.0,Tennessee,0.0,0.5,2018
4.0,8.3,.479,0.8,.329,2.5,3.1,0.1,,4.8,10.9,.444,2.2,3.0,.726,111,,25.8,,,12.7,Mike James,5.13,1.8,Duquesne,,3.0,2018
2.1,3.8,.537,0.0,,0.0,0.5,0.8,2.4,2.1,3.8,.537,1.6,2.9,.559,78,18,15.2,1.9,,5.8,Dakari Johnson,9.28,0.3,Kentucky,0.9,4.3,2018
1.7,3.3,.508,0.7,.293,2.4,0.7,0.3,2.7,2.4,5.7,.418,0.9,1.5,.600,120,66,20.8,1.3,,6.4,Omari Johnson,6.43,0.6,Oregon State,1.3,4.0,2018
4.3,9.3,.465,0.7,.317,2.3,0.7,0.4,5.0,5.0,11.6,.436,3.7,5.2,.715,64,59,28.0,1.9,,14.5,Jalen Jones,,0.8,Texas A&M,1.5,6.9,2018
3.2,6.1,.526,2.0,.383,5.1,2.0,0.3,3.3,5.2,11.2,.461,3.4,3.9,.867,73,47,31.2,1.1,,15.7,Luke Kennard,10.75,0.9,Duke,1.2,4.3,2018
1.8,3.5,.519,1.2,.320,3.7,1.1,1.6,3.6,3.0,7.2,.417,1.7,2.2,.779,128,76,24.1,1.2,,8.9,Luke Kornet,8.03,0.4,Vanderbilt,1.1,4.8,2018
3.3,5.9,.567,0.5,.302,1.8,1.5,0.4,3.9,3.9,7.7,.506,1.8,2.8,.633,96,64,21.0,1.6,,10.1,Kyle Kuzma,6.84,0.3,Utah,1.6,5.5,2018
5.9,9.2,.644,0.8,.466,1.7,2.4,1.1,6.0,6.7,10.9,.617,2.1,3.0,.679,35,35,29.9,2.2,,16.3,T.J. Leaf,6.39,0.6,UCLA,1.5,8.2,2018
3.0,5.9,.517,2.0,.341,6.0,2.0,0.0,3.3,5.1,11.8,.428,3.8,4.5,.843,30,30,33.6,0.6,,15.9,Damion Lee,,1.5,Louisville,1.7,3.9,2018
2.5,4.8,.531,1.4,.400,3.5,1.6,1.6,5.4,3.9,8.2,.476,2.4,2.9,.809,71,34,33.1,2.0,,11.6,Tyler Lydon,9.11,1.1,Syracuse,1.5,7.4,2018
3.1,5.8,.545,1.9,.423,4.4,0.9,0.5,4.8,5.0,10.2,.492,3.7,4.4,.835,37,37,30.8,2.4,,15.6,Lauri Markkanen,7.63,0.4,Arizona,1.1,7.2,2018
2.9,6.2,.471,1.3,.420,3.0,4.0,0.1,2.9,4.2,9.2,.454,3.3,4.4,.761,145,113,30.0,0.5,,13.0,Frank Mason,11.74,1.1,Kansas,1.9,3.4,2018
1.8,3.6,.506,0.0,,0.0,0.5,1.3,2.5,1.8,3.6,.506,1.2,1.9,.599,114,44,18.0,2.3,,4.8,Mangok Mathiang,8.17,0.5,Louisville,0.9,4.8,2018
3.8,7.3,.527,1.4,.348,3.9,1.0,0.5,5.8,5.2,11.3,.464,3.1,4.3,.735,99,98,29.1,1.4,,14.9,Erik McCree,,0.6,Louisiana Tech,2.2,7.3,2018
1.4,2.7,.505,1.4,.385,3.7,1.5,0.0,3.0,2.8,6.4,.436,1.1,1.3,.815,69,46,27.3,0.5,,8.1,Trey McKinney-Jones,,0.7,Miami (FL),1.1,3.4,2018
2.2,4.5,.489,0.6,.351,1.8,0.2,0.5,3.1,2.9,6.4,.449,0.9,1.7,.535,42,20,19.7,1.6,,7.3,Alfonzo McKinnie,,0.5,Green Bay,1.1,4.8,2018
2.0,4.1,.491,0.9,.370,2.5,1.5,1.3,4.0,3.0,6.7,.445,2.2,2.8,.765,112,93,26.0,0.7,,9.0,Malcolm Miller,-3.57,0.8,Holy Cross,1.6,4.8,2018
2.6,5.2,.497,1.5,.329,4.6,2.2,0.3,3.0,4.1,9.8,.418,2.0,2.5,.788,65,38,26.0,1.1,,11.7,Donovan Mitchell,9.44,1.5,Louisville,1.3,4.1,2018
3.9,7.8,.497,2.7,.397,6.9,2.3,0.5,2.2,6.6,14.7,.450,3.9,4.7,.822,38,37,32.1,0.3,,19.8,Malik Monk,10.49,0.9,Kentucky,2.0,2.5,2018
3.4,6.3,.541,0.0,.200,0.0,1.8,0.9,3.5,3.4,6.3,.539,2.2,3.3,.663,135,93,24.5,2.2,,9.0,Ben Moore,4.39,0.8,SMU,1.4,5.8,2018
3.5,6.7,.517,1.1,.381,2.9,5.5,0.3,2.9,4.5,9.5,.476,2.0,2.6,.780,140,121,33.8,0.8,,12.2,Monte Morris,10.28,1.6,Iowa State,1.2,3.7,2018
4.6,8.6,.535,0.1,.240,0.5,1.3,1.2,3.7,4.7,9.0,.519,2.5,3.9,.654,102,77,24.3,2.7,,12.0,Johnathan Motley,10.32,0.4,Baylor,2.0,6.4,2018
2.4,4.4,.547,1.0,.321,3.1,1.1,0.6,3.3,3.4,7.6,.454,1.7,2.2,.745,67,35,24.1,0.7,,9.5,Abdel Nader,,0.7,Iowa State,1.7,4.0,2018
1.7,3.4,.508,1.1,.448,2.5,3.1,0.3,3.6,2.8,5.8,.483,1.8,2.6,.683,71,64,29.5,2.0,,8.5,Royce O'Neale,,1.0,Baylor,1.7,5.6,2018
3.9,7.4,.529,2.1,.424,4.9,1.5,0.4,4.6,6.0,12.3,.487,4.9,6.3,.785,35,35,34.1,2.3,,19.0,Semi Ojeleye,,0.4,SMU,1.4,6.9,2018
2.1,4.8,.446,2.1,.374,5.7,4.3,0.2,2.4,4.3,10.5,.407,2.5,3.0,.848,141,139,32.4,0.4,,13.3,Marcus Paige,9.72,1.4,UNC,1.9,2.8,2018
5.5,8.0,.683,0.2,.533,0.4,1.2,1.4,4.5,5.7,8.5,.676,1.3,2.5,.517,35,34,25.3,1.7,,12.9,Justin Patton,8.95,0.9,Creighton,1.7,6.2,2018
2.2,5.1,.439,1.5,.325,4.7,2.2,0.5,3.0,3.8,9.8,.384,2.9,4.0,.724,138,87,26.6,0.8,,12.0,Brandon Paul,9.69,1.1,Illinois,2.3,3.8,2018
1.3,3.4,.400,1.5,.409,3.7,4.1,0.1,2.4,2.9,7.1,.405,1.6,2.0,.812,138,134,32.1,0.3,,8.9,London Perrantes,9.43,0.9,Virginia,1.5,2.7,2018
3.7,6.9,.539,2.2,.416,5.2,1.5,0.3,5.5,5.9,12.1,.487,3.6,4.2,.846,134,134,31.7,2.0,,17.5,Alec Peters,-0.95,0.8,Valparaiso,1.9,7.4,2018
2.6,5.7,.459,2.2,.361,6.1,3.4,0.1,1.9,4.8,11.9,.408,3.9,5.1,.770,135,115,29.5,0.5,,15.8,Jacob Pullen,7.93,1.6,Kansas State,2.6,2.4,2018
2.5,5.5,.459,2.0,.360,5.5,1.9,0.2,2.8,4.5,11.0,.410,1.8,2.7,.676,102,77,31.4,0.4,,12.8,Rodney Purvis,,0.9,UConn,1.7,3.2,2018
4.7,8.5,.549,0.1,.409,0.3,1.2,1.1,6.6,4.8,8.8,.544,3.5,5.2,.666,65,64,30.6,2.9,,13.2,Ivan Rabb,7.10,0.6,California,1.8,9.4,2018
3.0,5.8,.521,1.3,.294,4.3,4.5,0.0,2.7,4.3,10.1,.424,2.5,3.7,.666,100,96,30.5,0.5,,12.4,Xavier Rathan-Mayes,8.02,1.0,Florida State,2.6,3.2,2018
1.8,3.9,.466,1.5,.395,3.9,1.6,0.4,3.0,3.3,7.8,.430,2.0,2.6,.779,131,99,28.1,0.7,,10.3,Davon Reed,8.24,0.9,Miami (FL),1.4,3.6,2018
2.2,4.2,.527,1.0,.336,2.8,0.6,0.6,3.4,3.2,7.1,.450,1.6,2.2,.714,105,71,23.0,1.4,,8.9,Devin Robinson,9.96,0.6,Florida,0.9,4.9,2018
6.5,11.6,.561,0.0,.333,0.1,4.8,0.8,8.6,6.5,11.7,.560,6.0,9.0,.670,33,32,34.9,3.1,,19.2,Ben Simmons,7.00,2.0,LSU,3.4,11.8,2018
2.1,4.9,.432,0.9,.327,2.6,2.0,0.1,1.3,3.0,7.6,.395,1.9,2.4,.775,37,19,23.5,0.4,,8.7,Kobi Simmons,7.63,0.6,Arizona,1.2,1.6,2018
1.3,2.0,.667,0.0,,0.0,0.0,0.0,,1.3,2.0,.667,0.7,0.7,1.000,3,,,,,3.3,Dennis Smith,4.36,0.0,Utah,,1.3,2018
2.9,6.0,.483,0.6,.285,2.2,3.8,0.4,3.0,3.5,8.2,.429,3.7,5.1,.730,58,49,26.6,0.5,,11.4,Edmond Sumner,9.81,1.2,Xavier,2.2,3.5,2018
4.2,7.9,.537,0.9,.376,2.3,2.4,0.5,8.2,5.1,10.2,.501,3.3,4.4,.760,69,69,29.2,2.2,,14.4,Caleb Swanigan,8.12,0.4,Purdue,3.0,10.4,2018
4.3,8.6,.504,1.4,.342,4.0,2.1,1.1,6.0,5.7,12.6,.452,4.1,4.8,.849,29,27,33.3,1.3,,16.8,Jayson Tatum,10.91,1.3,Duke,2.6,7.3,2018
3.2,7.5,.420,1.4,.339,4.0,3.0,0.6,3.6,4.5,11.5,.392,4.3,5.6,.771,132,132,31.8,1.6,,14.7,Sindarius Thornwell,7.80,1.5,South Carolina,2.5,5.2,2018
3.6,7.9,.464,0.9,.292,3.1,3.4,0.4,4.2,4.6,11.0,.415,2.6,4.2,.613,129,114,31.6,1.0,,12.6,Tyrone Wallace,7.30,1.1,California,2.2,5.2,2018
1.6,3.8,.409,1.8,.401,4.6,3.9,0.0,4.0,3.4,8.4,.404,2.9,3.5,.837,127,125,31.9,0.4,,11.6,Derrick Walton,9.33,1.1,Michigan,1.8,4.4,2018
6.5,11.0,.596,0.0,,0.0,1.6,2.0,5.9,6.5,11.0,.596,2.7,4.6,.592,135,131,30.7,3.5,,15.8,Jameel Warney,-4.98,0.8,Stony Brook,1.4,9.4,2018
3.8,6.1,.628,1.2,.330,3.6,0.8,0.6,6.4,5.0,9.6,.518,2.3,3.4,.676,63,58,29.0,2.2,,13.5,James Webb,2.25,1.3,Boise State,1.3,8.6,2018
4.4,7.6,.569,1.7,.396,4.2,4.4,1.4,3.1,6.0,11.9,.507,4.4,5.4,.813,34,32,32.8,1.0,,18.1,Derrick White,6.00,1.2,Colorado,2.4,4.1,2018
7.6,11.9,.642,0.1,.714,0.2,2.4,2.8,6.3,7.8,12.1,.643,4.7,5.6,.828,34,34,34.3,2.8,,20.4,Jacob Wiley,,0.8,Eastern Washington,3.8,9.1,2018
1.1,2.5,.444,0.6,.312,1.9,2.3,0.0,1.7,1.7,4.4,.388,1.2,2.0,.571,108,35,25.5,0.3,,5.2,C.J. Williams,-0.16,0.9,Boise State,1.8,1.9,2018
2.9,5.5,.534,0.0,.000,0.1,1.3,0.5,2.9,2.9,5.6,.529,2.8,3.9,.710,113,65,22.1,1.6,,8.7,Matt Williams,4.36,0.5,Colorado State,1.9,4.4,2018
2.1,3.3,.619,0.7,.363,2.0,0.8,1.0,2.4,2.8,5.3,.525,0.8,1.0,.817,69,36,19.4,0.9,,7.1,D.J. Wilson,9.23,0.4,Michigan,0.8,3.3,2018
2.7,5.7,.476,0.8,.344,2.2,1.8,0.9,3.4,3.5,7.9,.439,1.7,2.5,.704,101,53,26.0,1.5,,9.4,Jamil Wilson,,0.6,Marquette,1.5,5.0,2018
2.3,4.4,.509,2.0,.369,5.3,2.8,0.6,3.4,4.2,9.7,.433,2.8,3.5,.801,124,121,30.6,0.8,,13.2,Ron Baker,3.94,1.3,Wichita State,1.4,4.2,2017
2.2,5.1,.436,1.2,.422,2.9,4.8,0.2,3.6,3.4,8.0,.431,3.5,4.4,.800,68,54,29.6,0.4,,11.6,Wade Baldwin,7.45,1.3,Vanderbilt,2.3,4.1,2017
3.8,7.4,.518,1.6,.387,4.2,1.5,0.2,4.0,5.4,11.6,.471,3.1,3.8,.813,34,33,29.8,1.3,,15.6,Malik Beasley,8.16,0.9,Florida State,1.7,5.3,2017
4.6,8.8,.520,1.2,.312,3.8,3.6,0.8,5.3,5.7,12.6,.457,3.1,4.9,.628,101,100,36.1,1.4,,15.7,DeAndre' Bembry,4.20,1.4,St. Joseph's,2.5,6.7,2017
3.8,7.5,.503,0.9,.324,2.7,0.9,0.7,3.8,4.7,10.2,.455,3.6,4.8,.761,69,56,27.9,2.5,,13.8,Ben Bentil,8.98,0.6,Providence,1.6,6.3,2017
3.5,6.4,.547,0.3,.371,0.7,0.7,1.4,6.9,3.8,7.2,.528,3.6,5.0,.713,130,90,28.8,3.2,,11.4,Joel Bolomboy,-4.62,0.6,Weber State,2.0,10.1,2017
3.1,6.6,.466,1.4,.365,3.7,2.5,0.2,3.5,4.4,10.3,.430,3.1,3.5,.876,136,109,30.6,0.6,,13.3,Malcolm Brogdon,7.76,0.9,Virginia,1.5,4.1,2017
3.9,8.1,.482,0.9,.294,3.0,2.0,0.6,4.3,4.8,11.1,.431,4.2,6.4,.654,34,34,27.6,1.1,,14.6,Jaylen Brown,7.87,0.8,California,3.1,5.4,2017
4.6,8.2,.568,0.6,.350,1.8,0.8,1.6,2.9,5.3,9.9,.530,2.6,3.8,.682,34,34,24.9,2.5,,13.7,Marquese Chriss,8.12,0.9,Washington,2.0,5.4,2017
5.3,11.1,.476,0.4,.338,1.2,4.4,0.2,2.5,5.7,12.3,.462,4.4,6.6,.670,64,63,34.8,0.3,,16.2,Semaj Christon,6.55,1.4,Xavier,3.1,2.8,2017
2.1,4.2,.492,1.7,.375,4.4,3.6,0.1,2.3,3.7,8.6,.432,1.9,2.2,.853,143,99,28.2,0.4,,11.0,Quinn Cook,9.07,1.1,Duke,1.4,2.7,2017
3.4,5.7,.598,0.0,,0.0,0.7,1.8,3.4,3.4,5.7,.598,0.7,1.1,.605,35,16,18.6,2.1,,7.5,Deyonta Davis,6.94,0.3,Michigan State,0.9,5.5,2017
2.7,6.3,.432,1.9,.363,5.3,4.0,0.2,2.7,4.7,11.7,.401,5.3,6.3,.845,136,125,34.5,0.8,,16.6,Malcolm Delaney,6.21,1.3,Virginia Tech,2.8,3.5,2017
1.2,2.1,.569,0.0,,0.0,0.0,0.9,1.9,1.2,2.1,.569,0.6,1.0,.556,27,1,7.5,0.6,,3.0,Cheick Diallo,11.22,0.3,Kansas,0.6,2.5,2017
3.7,7.8,.476,0.8,.354,2.2,5.8,0.4,4.0,4.5,9.9,.450,3.1,4.5,.693,95,83,31.5,1.1,,12.8,Kris Dunn,8.09,2.2,Providence,3.3,5.1,2017
5.0,10.0,.495,0.9,.288,3.2,1.8,1.5,7.6,5.9,13.2,.446,4.3,5.8,.749,33,33,33.5,2.2,,17.0,Henry Ellenson,5.57,0.8,Marquette,2.4,9.7,2017
3.8,5.9,.639,0.0,.200,0.2,1.4,2.6,5.8,3.8,6.1,.626,3.5,5.1,.685,28,20,23.1,2.3,,11.2,Joel Embiid,11.40,0.9,Kansas,2.4,8.1,2017
2.5,5.1,.485,1.6,.361,4.4,1.9,0.7,4.6,4.1,9.5,.428,2.4,3.5,.673,101,61,28.5,2.5,,12.1,Dorian Finney-Smith,,0.8,Florida,1.8,7.1,2017
1.3,2.6,.484,2.5,.458,5.4,1.2,0.1,1.5,3.7,8.0,.467,1.4,1.7,.827,74,58,27.1,0.3,,11.3,Bryn Forbes,,0.5,Michigan State,0.8,1.7,2017
3.6,6.5,.556,0.8,.364,2.2,1.7,0.7,2.8,4.4,8.7,.508,2.4,3.6,.671,129,117,30.1,1.6,,12.0,Patricio Garino,3.73,1.7,George Washington,2.2,4.3,2017
2.4,4.7,.507,1.5,.387,4.0,3.0,0.3,2.6,3.9,8.7,.452,1.9,3.0,.631,101,61,29.2,1.0,,11.3,Michael Gbinije,,1.5,Syracuse,1.8,3.6,2017
3.4,7.3,.474,0.9,.329,2.9,2.2,0.2,2.9,4.4,10.1,.433,3.6,4.8,.749,130,129,30.9,1.5,,13.3,Marcus Georges-Hunt,7.08,0.9,Georgia Tech,1.7,4.5,2017
2.1,4.3,.480,2.0,.398,5.0,1.8,0.0,1.6,4.0,9.3,.436,1.7,2.2,.758,131,96,24.5,0.4,,11.8,Jonathan Gibson,0.16,1.0,New Mexico State,1.6,1.9,2017
3.0,6.2,.483,1.4,.354,4.0,1.4,0.2,3.7,4.4,10.2,.432,3.2,4.6,.691,140,102,25.4,2.1,,13.4,Treveon Graham,4.00,0.8,VCU,1.4,5.8,2017
4.6,8.4,.544,0.0,.261,0.2,0.8,2.6,4.7,4.6,8.6,.539,2.7,4.0,.690,132,95,24.3,2.4,,12.1,A.J. Hammons,7.64,0.4,Purdue,2.1,7.0,2017
1.9,5.2,.374,0.9,.367,2.4,3.8,0.2,2.1,2.8,7.6,.372,3.6,4.6,.777,79,78,28.6,0.6,,10.1,Andrew Harrison,9.28,0.8,Kentucky,2.2,2.7,2017
3.3,6.5,.508,2.6,.390,6.8,1.9,0.3,3.4,5.9,13.2,.448,2.8,3.4,.836,132,118,31.7,1.6,,17.4,Buddy Hield,9.28,1.3,Oklahoma,2.2,5.0,2017
2.8,6.0,.469,2.2,.344,6.4,2.1,0.4,3.4,5.0,12.4,.404,3.1,4.5,.686,62,57,31.6,1.0,,15.3,Danuel House,,0.6,Texas A&M,1.8,4.3,2017
3.7,8.0,.464,2.2,.410,5.4,2.0,1.4,4.9,5.9,13.4,.442,3.2,4.7,.682,36,34,34.6,1.9,,17.3,Brandon Ingram,10.59,1.1,Duke,2.0,6.8,2017
2.5,5.6,.447,1.7,.348,4.8,3.3,0.1,2.4,4.2,10.4,.402,3.3,4.0,.837,57,50,29.1,0.4,,13.4,Demetrius Jackson,-1.12,1.1,Pacific,3.4,2.8,2017
3.1,6.4,.496,2.1,.379,5.6,6.5,0.0,2.5,5.3,11.9,.441,4.0,5.0,.808,74,55,32.8,0.8,,16.7,Pierre Jackson,7.58,1.6,Baylor,3.5,3.3,2017
5.0,8.6,.577,0.0,,0.0,0.9,1.1,4.9,5.0,8.6,.577,2.0,2.8,.715,148,80,21.0,2.1,,11.9,Brice Johnson,9.72,0.8,UNC,1.3,7.0,2017
5.1,9.0,.570,0.0,.125,0.1,0.7,1.7,4.3,5.1,9.1,.566,3.0,5.3,.565,99,95,27.1,2.1,,13.3,Damian Jones,7.13,0.4,Vanderbilt,2.0,6.4,2017
1.4,2.5,.565,2.3,.390,5.8,2.1,0.3,3.8,3.7,8.4,.443,1.5,2.4,.634,61,29,,0.8,,11.2,Derrick Jones,,0.6,Samford,2.8,4.1,2017
2.7,5.2,.521,0.0,.000,0.1,0.3,1.6,2.2,2.7,5.3,.516,1.1,1.7,.661,36,18,15.8,1.0,,6.6,Skal Labissiere,8.84,0.3,Kentucky,0.9,3.1,2017
2.0,3.8,.530,1.4,.362,3.9,1.1,0.8,3.7,3.4,7.7,.445,1.9,2.6,.759,141,115,27.9,1.1,,10.2,Jake Layman,7.17,0.9,Maryland,1.4,4.8,2017
2.3,4.9,.456,1.3,.401,3.2,2.7,0.2,3.2,3.6,8.2,.434,2.0,2.6,.770,103,70,26.4,0.4,,10.4,Caris LeVert,9.30,0.9,Michigan,1.3,3.5,2017
5.6,10.4,.541,0.8,.341,2.4,1.1,2.0,7.3,6.5,12.8,.503,3.6,5.3,.676,135,131,29.8,3.4,,17.3,Shawn Long,-2.01,0.7,Louisiana,2.4,10.7,2017
2.3,4.3,.527,1.9,.367,5.2,3.3,0.4,3.3,4.2,9.6,.439,1.9,2.5,.753,65,48,31.7,0.9,,12.2,Patrick McCaw,3.28,2.0,UNLV,1.9,4.2,2017
2.8,5.7,.498,1.4,.381,3.7,1.4,0.3,3.0,4.2,9.3,.452,1.9,2.5,.759,135,100,27.4,1.9,,11.7,Rodney McGruder,8.19,0.9,Kansas State,1.3,4.8,2017
4.9,10.8,.457,1.0,.288,3.5,4.4,0.3,4.6,5.9,14.3,.416,3.2,4.9,.663,34,34,33.5,1.4,,16.1,Dejounte Murray,8.12,1.8,Washington,3.2,6.0,2017
3.6,7.3,.502,3.1,.408,7.7,2.2,0.3,3.7,6.8,14.9,.454,3.3,4.2,.783,36,36,35.2,1.5,,20.0,Jamal Murray,8.84,1.0,Kentucky,2.3,5.2,2017
4.6,8.8,.520,0.7,.388,1.8,1.6,1.9,5.7,5.2,10.5,.498,3.6,4.8,.757,66,60,32.3,1.9,,14.8,Maurice Ndour,-0.36,0.8,Ohio,2.7,7.6,2017
4.8,8.7,.553,1.4,.375,3.6,3.1,0.5,4.0,6.2,12.3,.500,2.5,3.2,.763,138,126,29.8,1.2,,16.1,Georges Niang,8.83,0.7,Iowa State,2.3,5.2,2017
4.2,8.7,.483,0.0,.167,0.3,2.0,0.6,3.4,4.2,9.0,.473,3.4,5.2,.650,88,77,26.0,1.9,,11.9,David Nwaba,1.01,1.1,Cal Poly,1.6,5.3,2017
2.9,4.7,.604,0.0,.000,0.0,1.3,1.3,4.5,2.9,4.8,.600,1.5,2.4,.622,141,110,21.7,2.1,,7.2,Daniel Ochefu,8.32,0.8,Villanova,1.6,6.6,2017
2.8,4.4,.621,0.0,.000,0.0,1.1,1.6,4.0,2.8,4.5,.619,0.7,1.3,.547,66,55,21.0,2.4,,6.2,Chinanu Onuaku,8.36,0.8,Louisville,1.7,6.4,2017
5.4,10.2,.530,1.5,.369,4.0,7.8,0.5,,6.9,14.3,.485,2.8,4.1,.684,120,89,37.7,,,18.1,Gary Payton,6.72,2.7,Oregon State,3.3,4.0,2017
1.2,1.9,.664,0.0,1.000,0.0,0.5,0.8,2.2,1.3,1.9,.665,0.9,1.7,.555,124,36,14.3,1.6,,3.4,Marshall Plumlee,9.62,0.4,Duke,0.5,3.8,2017
5.1,7.7,.659,0.0,.000,0.0,1.3,1.7,5.2,5.1,7.7,.658,3.1,5.2,.605,70,70,26.9,2.8,,13.3,Jakob Poeltl,8.10,0.5,Utah,1.8,8.0,2017
2.9,4.9,.595,0.3,.302,0.9,0.5,0.7,3.5,3.2,5.8,.551,2.0,2.9,.686,112,62,22.1,1.8,,8.6,Alex Poythress,8.30,0.4,Kentucky,1.3,5.3,2017
1.7,3.7,.471,1.0,.310,3.2,3.1,0.4,2.7,2.7,6.9,.397,1.9,2.9,.660,99,44,24.9,1.2,,8.4,Tim Quarterman,6.41,1.0,LSU,1.7,3.9,2017
3.2,6.9,.462,2.1,.386,5.5,2.5,0.1,2.8,5.3,12.3,.428,3.8,4.8,.806,144,142,33.3,0.5,,16.5,Chasson Randle,6.92,1.2,Stanford,2.3,3.3,2017
2.0,5.1,.388,2.1,.353,6.1,2.1,0.3,3.8,4.1,11.1,.369,3.1,4.2,.720,37,37,34.4,0.5,,13.4,Malachi Richardson,9.75,1.1,Syracuse,2.1,4.3,2017
5.1,8.0,.638,0.1,.357,0.2,1.3,0.6,6.8,5.2,8.2,.632,3.1,4.2,.729,74,32,26.6,2.6,,13.5,Domantas Sabonis,4.67,0.5,Gonzaga,2.0,9.4,2017
2.4,4.8,.494,1.5,.366,4.1,2.6,0.4,2.1,3.9,8.9,.436,1.8,2.8,.632,109,108,29.5,0.9,,11.0,Wayne Selden,11.58,0.7,Kansas,1.9,3.0,2017
6.4,11.5,.559,0.0,.176,0.3,1.5,2.0,6.1,6.5,11.8,.551,3.5,5.0,.711,68,61,32.7,3.6,,16.6,Pascal Siakam,-3.60,0.9,New Mexico State,1.9,9.7,2017
4.8,8.4,.568,0.0,,0.0,0.4,1.6,3.2,4.8,8.4,.568,2.9,3.8,.761,35,22,23.1,2.2,,12.5,Diamond Stone,8.31,0.5,Maryland,1.5,5.4,2017
4.1,9.8,.419,0.4,.294,1.3,4.5,0.1,2.7,4.5,11.1,.404,4.3,5.4,.792,92,92,30.8,0.4,,13.6,Isaiah Taylor,9.98,1.0,Texas,2.3,3.1,2017
2.8,5.3,.537,0.0,.316,0.1,0.4,0.7,2.4,2.9,5.4,.531,1.0,1.5,.704,138,48,16.3,1.6,,6.8,Mike Tobey,7.76,0.2,Virginia,0.8,4.0,2017
2.4,5.1,.462,1.2,.371,3.3,5.3,0.1,1.9,3.6,8.4,.427,2.9,3.4,.846,72,35,30.1,0.5,,11.3,Tyler Ulis,8.76,1.2,Kentucky,1.5,2.4,2017
3.2,6.6,.486,1.4,.383,3.6,1.2,1.8,4.3,4.6,10.2,.450,2.5,3.1,.795,100,67,26.5,1.5,,13.0,Jarrod Uthoff,8.18,0.8,Iowa,1.0,5.8,2017
2.2,4.6,.476,1.8,.408,4.5,4.4,0.3,4.8,4.0,9.1,.442,1.5,2.0,.779,144,116,29.0,1.1,,11.4,Denzel Valentine,9.21,0.9,Michigan State,2.2,5.9,2017
2.9,5.3,.542,0.5,.327,1.5,0.7,0.8,3.2,3.4,6.8,.494,2.9,3.6,.799,139,94,24.6,1.8,,10.1,Okaro White,7.36,0.7,Florida State,1.6,5.1,2017
3.0,7.8,.387,2.1,.359,5.8,4.5,1.1,3.0,5.1,13.6,.375,3.5,4.6,.757,56,52,30.5,0.7,,15.8,Isaiah Whitehead,7.92,1.3,Seton Hall,3.4,3.7,2017
0.6,0.9,.618,0.0,,0.0,0.1,0.3,,0.6,0.9,.618,0.3,0.4,.733,37,,,,,1.4,Troy Williams,-2.12,0.2,Centenary (LA),,1.9,2017
4.6,8.4,.550,2.1,.449,4.8,1.7,0.7,4.7,6.8,13.2,.514,2.9,3.5,.828,74,73,30.5,1.5,,18.6,Kyle Wiltjer,,0.4,Gonzaga,1.6,6.3,2017
2.6,4.6,.566,0.0,,0.0,0.4,1.3,3.3,2.6,4.6,.566,1.9,2.8,.671,28,6,17.6,2.0,,7.1,Cliff Alexander,12.13,0.2,Kansas,1.0,5.3,2016
