,Player,School,c_G,c_FGP,c_3PP,c_FTP,c_TRB,c_AST,c_STL,c_BLK,c_TOV,c_PTS
52,George King,Colorado,127,0.444,0.401,0.731,5.4,0.7,0.4,0.3,1.5,10.2
53,Kevin Knox,Kentucky,37,0.445,0.341,0.774,5.4,1.4,0.8,0.3,2.3,15.6
54,Zach Lofton,New Mexico State,33,0.456,0.38,0.772,5.0,1.7,1.1,0.1,2.2,20.1
55,Jordan Loyd,Furman,28,0.36700000000000005,0.259,0.6609999999999999,3.5,1.8,0.5,0.1,1.6,5.9
56,Daryl Macon,Arkansas,71,0.45,0.405,0.871,2.8,3.1,1.1,0.1,1.8,15.1
57,J.P. Macura,Xavier,141,0.44799999999999995,0.35200000000000004,0.7979999999999999,3.2,2.1,1.2,0.2,1.5,10.6
58,Yante Maten,Georgia,128,0.483,0.40299999999999997,0.755,6.9,1.0,0.4,1.6,1.9,14.7
59,Tahjere McCall,Tennessee State,58,0.445,0.266,0.6990000000000001,5.1,4.0,2.6,0.4,3.4,14.5
60,De'Anthony Melton,USC,36,0.43700000000000006,0.284,0.706,4.7,3.5,1.9,1.0,1.8,8.3
61,Chimezie Metu,USC,104,0.5329999999999999,0.302,0.6920000000000001,6.3,1.2,0.7,1.6,1.7,12.3
62,Sviatoslav Mykhailiuk,Kansas,136,0.428,0.409,0.746,2.5,1.5,0.7,0.2,1.1,8.7
63,Josh Okogie,Georgia Tech,61,0.43700000000000006,0.382,0.777,5.8,2.0,1.5,0.8,2.3,16.9
64,Theo Pinson,UNC,122,0.431,0.257,0.7340000000000001,4.4,3.4,0.8,0.3,1.5,6.3
65,Cameron Reynolds,Tulane,135,0.387,0.33399999999999996,0.716,4.5,1.2,0.6,0.3,1.2,10.1
66,Duncan Robinson,Michigan,115,0.455,0.419,0.8640000000000001,2.5,1.2,0.6,0.3,0.7,9.3
67,Jerome Robinson,Bradley,113,0.44,0.375,0.741,3.2,1.8,0.8,0.6,1.5,8.4
68,Brandon Sampson,LSU,85,0.442,0.324,0.745,2.3,1.0,0.6,0.2,1.3,7.9
69,Collin Sexton,Alabama,33,0.447,0.336,0.778,3.8,3.6,0.8,0.1,2.8,19.2
70,Landry Shamet,Wichita State,71,0.48,0.43700000000000006,0.8109999999999999,3.0,4.1,0.8,0.2,1.5,12.9
71,Jordan Sibert,Dayton,73,0.456,0.384,0.76,2.8,1.7,1.3,0.1,1.5,14.1
72,Zhaire Smith,Texas Tech,37,0.556,0.45,0.7170000000000001,5.0,1.8,1.1,1.1,1.1,11.3
73,Omari Spellman,Villanova,40,0.47600000000000003,0.433,0.7,8.0,0.8,0.7,1.5,1.0,10.9
74,Jared Terrell,Rhode Island,134,0.406,0.365,0.763,3.0,2.1,1.3,0.2,1.7,13.1
75,Khyri Thomas,Creighton,102,0.511,0.406,0.7190000000000001,4.6,2.5,1.4,0.3,1.6,11.2
76,Gary Trent,Ohio,93,0.573,0.24600000000000002,0.687,11.3,2.0,0.6,1.1,3.3,22.7
77,Allonzo Trier,Arizona,78,0.479,0.37799999999999995,0.8270000000000001,3.7,2.4,0.5,0.2,2.0,16.8
78,Jarred Vanderbilt,Kentucky,14,0.426,0.0,0.632,7.9,1.0,0.4,0.8,1.1,5.9
79,Moritz Wagner,Michigan,107,0.547,0.385,0.698,4.5,0.5,0.8,0.4,1.2,10.4
80,Brad Wanamaker,Pitt,134,0.43700000000000006,0.344,0.722,3.9,3.4,1.0,0.2,1.9,8.1
81,Julian Washburn,UTEP,130,0.435,0.341,0.6990000000000001,3.8,2.1,0.9,0.4,1.6,11.7
82,Yuta Watanabe,George Washington,134,0.425,0.337,0.7879999999999999,4.5,1.5,0.7,1.1,1.3,10.9
83,Thomas Welsh,UCLA,132,0.537,0.40700000000000003,0.7979999999999999,7.8,0.8,0.4,1.1,0.7,9.5
84,Johnathan Williams,Charlotte,14,0.25,0.5,0.5,0.1,0.1,0.1,0.0,0.4,0.5
85,Kenrich Williams,TCU,102,0.484,0.375,0.625,8.6,2.7,1.4,0.7,1.4,11.0
86,Robert Williams,Florida Atlantic,122,0.48700000000000004,0.333595588235294,0.551,4.7,0.4,0.4,0.6,1.2,6.6
87,Trae Young,Oklahoma,32,0.42200000000000004,0.36,0.861,3.9,8.7,1.7,0.3,5.2,27.4
88,Jarrett Allen,Texas,33,0.5660000000000001,0.0,0.564,8.4,0.8,0.6,1.5,2.5,13.4
89,Kadeem Allen,Arizona,68,0.45899999999999996,0.4,0.725,3.6,3.3,1.3,0.7,2.0,9.1
