,Player,School,c_G,c_FGP,c_3PP,c_FTP,c_TRB,c_AST,c_STL,c_BLK,c_TOV,c_PTS
233,Maurice Ndour,Ohio,66,0.498,0.38799999999999996,0.757,7.6,1.6,0.8,1.9,2.7,14.8
234,Georges Niang,Iowa State,138,0.5,0.375,0.763,5.2,3.1,0.7,0.5,2.3,16.1
235,David Nwaba,Cal Poly,88,0.473,0.16699999999999998,0.65,5.3,2.0,1.1,0.6,1.6,11.9
236,Daniel Ochefu,Villanova,141,0.6,0.0,0.622,6.6,1.3,0.8,1.3,1.6,7.2
237,Chinanu Onuaku,Louisville,66,0.619,0.0,0.547,6.4,1.1,0.8,1.6,1.7,6.2
238,Gary Payton,Oregon State,120,0.485,0.369,0.684,4.0,7.8,2.7,0.5,3.3,18.1
239,Marshall Plumlee,Duke,124,0.665,1.0,0.555,3.8,0.5,0.4,0.8,0.5,3.4
240,Jakob Poeltl,Utah,70,0.6579999999999999,0.0,0.605,8.0,1.3,0.5,1.7,1.8,13.3
241,Alex Poythress,Kentucky,112,0.551,0.302,0.6859999999999999,5.3,0.5,0.4,0.7,1.3,8.6
242,Tim Quarterman,LSU,99,0.397,0.31,0.66,3.9,3.1,1.0,0.4,1.7,8.4
243,Chasson Randle,Stanford,144,0.428,0.386,0.8059999999999999,3.3,2.5,1.2,0.1,2.3,16.5
244,Malachi Richardson,Syracuse,37,0.369,0.353,0.72,4.3,2.1,1.1,0.3,2.1,13.4
245,Domantas Sabonis,Gonzaga,74,0.632,0.35700000000000004,0.7290000000000001,9.4,1.3,0.5,0.6,2.0,13.5
246,Wayne Selden,Kansas,109,0.436,0.366,0.632,3.0,2.6,0.7,0.4,1.9,11.0
247,Pascal Siakam,New Mexico State,68,0.551,0.17600000000000002,0.711,9.7,1.5,0.9,2.0,1.9,16.6
248,Diamond Stone,Maryland,35,0.568,0.333595588235294,0.7609999999999999,5.4,0.4,0.5,1.6,1.5,12.5
249,Isaiah Taylor,Texas,92,0.40399999999999997,0.294,0.792,3.1,4.5,1.0,0.1,2.3,13.6
250,Mike Tobey,Virginia,138,0.531,0.316,0.7040000000000001,4.0,0.4,0.2,0.7,0.8,6.8
251,Tyler Ulis,Kentucky,72,0.42700000000000005,0.371,0.846,2.4,5.3,1.2,0.1,1.5,11.3
252,Jarrod Uthoff,Iowa,100,0.45,0.38299999999999995,0.795,5.8,1.2,0.8,1.8,1.0,13.0
253,Denzel Valentine,Michigan State,144,0.442,0.408,0.779,5.9,4.4,0.9,0.3,2.2,11.4
254,Okaro White,Florida State,139,0.494,0.327,0.799,5.1,0.7,0.7,0.8,1.6,10.1
255,Isaiah Whitehead,Seton Hall,56,0.375,0.359,0.757,3.7,4.5,1.3,1.1,3.4,15.8
256,Troy Williams,Centenary (LA),37,0.618,0.333595588235294,0.733,1.9,0.1,0.2,0.3,1.8830790568654632,1.4
257,Kyle Wiltjer,Gonzaga,74,0.514,0.449,0.828,6.3,1.7,0.4,0.7,1.6,18.6
258,Cliff Alexander,Kansas,28,0.5660000000000001,0.333595588235294,0.6709999999999999,5.3,0.4,0.2,1.3,1.0,7.1
259,Justin Anderson,Virginia,98,0.43,0.35700000000000004,0.752,3.5,1.8,0.6,0.9,1.3,8.9
260,Keith Appling,Michigan State,142,0.431,0.33399999999999996,0.748,3.0,3.3,1.1,0.5,2.1,10.6
261,Devin Booker,Clemson,128,0.496,0.275,0.6579999999999999,5.7,0.8,0.6,0.6,1.6,9.0
262,Anthony Brown,Oklahoma State,47,0.48200000000000004,0.14300000000000002,0.569,2.3,0.3,0.3,0.4,0.4,3.0
263,Willie Cauley-Stein,Kentucky,105,0.593,0.333595588235294,0.508,6.2,0.9,1.1,2.2,1.2,8.0
264,Rakeem Christmas,Syracuse,142,0.56,0.0,0.6809999999999999,5.3,0.6,0.5,1.7,1.1,7.4
265,Coty Clarke,Arkansas,65,0.469,0.442,0.777,5.4,1.8,1.5,0.6,1.3,8.6
266,Pat Connaughton,Notre Dame,139,0.45,0.386,0.777,5.9,1.8,0.7,0.5,1.0,10.5
267,Branden Dawson,Michigan State,130,0.5589999999999999,0.0,0.5579999999999999,6.9,1.4,1.3,1.1,1.7,10.1
268,Sam Dekker,Wisconsin,113,0.493,0.348,0.695,5.0,1.3,0.6,0.5,1.0,12.1
269,Duje Dukan,Wisconsin,97,0.42700000000000005,0.32799999999999996,0.6559999999999999,1.7,0.4,0.1,0.0,0.4,3.1
270,Jarell Eddie,Virginia Tech,123,0.385,0.365,0.812,4.6,1.1,0.3,0.5,1.5,9.6
271,Jerian Grant,Notre Dame,119,0.436,0.345,0.79,2.9,5.8,1.5,0.3,2.2,14.6
272,Montrezl Harrell,Louisville,112,0.586,0.275,0.5329999999999999,6.9,0.9,0.8,1.1,1.3,11.6
273,Aaron Harrison,Kentucky,79,0.41,0.335,0.787,2.8,1.6,1.1,0.2,1.3,12.4
274,Darrun Hilliard,Villanova,132,0.436,0.36700000000000005,0.748,3.0,1.9,1.3,0.4,1.6,11.4
275,Rondae Hollis-Jefferson,Arizona,76,0.496,0.205,0.6970000000000001,6.3,1.5,0.9,0.9,1.4,10.2
276,Richaun Holmes,Bowling Green State,95,0.5539999999999999,0.353,0.6970000000000001,6.9,0.7,0.8,2.6,1.5,11.5
277,Josh Huestis,Stanford,135,0.451,0.319,0.61,6.2,0.8,0.5,1.4,0.9,7.5
278,R.J. Hunter,Georgia State,99,0.423,0.354,0.853,4.8,2.4,1.9,0.9,1.7,18.4
279,Stanley Johnson,Arizona,38,0.446,0.371,0.742,6.5,1.7,1.5,0.4,2.2,13.8
280,Tyus Jones,Duke,39,0.41700000000000004,0.379,0.889,3.5,5.6,1.5,0.1,1.9,11.8
281,Frank Kaminsky,Wisconsin,144,0.522,0.369,0.763,4.6,1.3,0.5,1.1,0.8,10.1
282,Sasha Kaun,Kansas,135,0.568,0.333595588235294,0.512,3.9,0.3,0.4,1.1,0.8,6.1
283,Kevon Looney,UCLA,36,0.47,0.415,0.626,9.2,1.4,1.3,0.9,1.3,11.6
284,Trey Lyles,Kentucky,36,0.488,0.138,0.735,5.2,1.1,0.5,0.4,1.1,8.7
285,Jarell Martin,LSU,65,0.494,0.308,0.6890000000000001,6.9,1.4,1.0,0.7,2.2,13.7
286,T.J. McConnell,Arizona,76,0.47700000000000004,0.34299999999999997,0.742,3.7,5.8,1.9,0.1,1.9,9.4
287,Chris McCullough,Syracuse,16,0.478,1.0,0.563,6.9,1.1,1.7,2.1,2.2,9.3
288,Jordan McRae,Tennessee,114,0.41700000000000004,0.34299999999999997,0.769,3.3,1.8,0.6,0.9,2.0,13.3
289,Jordan Mickey,LSU,65,0.518,0.071,0.669,8.8,1.2,0.8,3.4,2.8,14.0
290,Xavier Munford,Rhode Island,61,0.39799999999999996,0.335,0.71,3.4,2.2,1.1,0.4,2.7,17.1
291,J.J. O'Brien,San Diego State,105,0.48100000000000004,0.28800000000000003,0.605,4.8,1.7,1.0,0.3,1.4,8.5
292,Jahlil Okafor,Duke,38,0.664,0.333595588235294,0.51,8.5,1.3,0.8,1.4,2.5,17.3
293,Kelly Oubre,Kansas,36,0.444,0.358,0.718,5.0,0.8,1.1,0.4,1.2,9.3
294,Lamar Patterson,Pitt,149,0.435,0.369,0.723,3.9,2.9,1.0,0.3,1.6,9.5
295,Cameron Payne,Murray State,69,0.43200000000000005,0.359,0.7809999999999999,3.7,5.7,1.8,0.5,2.9,18.5
296,Bobby Portis,Arkansas,70,0.526,0.365,0.737,7.9,1.3,1.1,1.5,1.4,15.0
297,Norman Powell,UCLA,141,0.461,0.314,0.746,3.0,1.5,1.1,0.4,1.3,9.8
298,Willie Reed,Saint Louis,67,0.574,0.333595588235294,0.5,6.3,0.5,0.5,1.7,1.4,10.2
299,Josh Richardson,North Texas,28,0.445,0.0,0.56,2.8,0.5,0.5,0.1,1.0,6.1
300,Terry Rozier,Louisville,73,0.408,0.331,0.772,4.3,2.4,1.5,0.1,1.4,12.0
301,D'Angelo Russell,Ohio State,35,0.449,0.41100000000000003,0.7559999999999999,5.7,5.0,1.6,0.3,2.9,19.3
302,Jonathon Simmons,Houston,30,0.512,0.386,0.716,5.0,2.2,0.7,0.4,3.3,14.7
303,Alex Stepheson,USC,62,0.518,0.333595588235294,0.505,8.3,0.2,0.3,1.3,1.6,9.2
304,Karl-Anthony Towns,Kentucky,39,0.5660000000000001,0.25,0.813,6.7,1.1,0.5,2.3,1.4,10.3
305,Myles Turner,Texas,34,0.455,0.27399999999999997,0.8390000000000001,6.5,0.6,0.3,2.6,1.4,10.1
306,Rashad Vaughn,UNLV,23,0.439,0.38299999999999995,0.6940000000000001,4.8,1.6,0.8,0.3,2.2,17.8
307,Briante Weber,VCU,127,0.426,0.27399999999999997,0.769,3.3,3.0,2.9,0.2,1.5,6.8
308,Alan Williams,Wake Forest,29,0.429,0.33299999999999996,0.75,0.4,0.1,0.1,0.0,0.0,0.9
309,Justise Winslow,Duke,39,0.486,0.418,0.6409999999999999,6.5,2.1,1.3,0.9,1.8,12.6
310,Christian Wood,UNLV,63,0.47700000000000004,0.261,0.747,6.8,0.8,0.3,1.9,1.5,10.4
311,Delon Wright,Utah,68,0.535,0.299,0.8140000000000001,5.8,5.2,2.3,1.1,2.2,15.0
312,Joe Young,Canisius,29,0.377,0.34,0.737,1.8,0.6,0.6,0.1,0.7,3.8
313,Jordan Adams,UCLA,69,0.467,0.331,0.8390000000000001,4.6,2.1,2.4,0.2,1.4,16.4
314,Cameron Bairstow,New Mexico,134,0.517,0.33299999999999996,0.7170000000000001,4.8,0.8,0.5,0.7,1.2,9.2
315,Jerrelle Benimon,Towson,67,0.531,0.366,0.6890000000000001,11.2,3.1,0.7,1.6,3.6,18.0
316,Sim Bhullar,New Mexico State,65,0.633,0.333595588235294,0.496,7.2,1.0,0.1,2.9,1.6,10.2
317,Tarik Black,Kansas,33,0.6920000000000001,0.0,0.6,3.9,0.3,0.3,0.5,0.7,5.5
318,Jabari Brown,Missouri,60,0.444,0.391,0.794,4.0,1.7,0.7,0.1,2.1,17.3
319,Markel Brown,Oklahoma State,134,0.439,0.34700000000000003,0.733,4.3,2.3,1.0,0.8,1.8,12.4
320,Will Cherry,Montana,116,0.43,0.285,0.718,3.6,3.4,2.3,0.3,2.4,12.8
321,Patrick Christopher,California,134,0.45,0.342,0.816,3.8,1.8,0.8,0.1,1.5,12.7
322,Jordan Clarkson,Missouri,35,0.44799999999999995,0.281,0.831,3.8,3.4,1.1,0.2,2.7,17.5
323,Jack Cooley,Notre Dame,123,0.601,0.5,0.6629999999999999,6.4,0.5,0.4,0.9,0.9,8.3
324,Bryce Cotton,Providence,130,0.42100000000000004,0.361,0.838,2.8,3.0,0.9,0.1,1.5,15.2
325,Andre Dawkins,Duke,142,0.433,0.40700000000000003,0.769,1.6,0.5,0.4,0.1,0.6,7.1
326,Spencer Dinwiddie,Colorado,86,0.42,0.386,0.83,3.3,2.6,1.1,0.3,1.8,13.0
327,Cleanthony Early,Wichita State,75,0.47,0.348,0.8190000000000001,5.7,0.7,0.8,0.8,1.7,15.1
328,James Ennis,Long Beach State,67,0.493,0.354,0.7879999999999999,5.4,2.4,1.7,1.0,2.5,13.2
329,Tyler Ennis,Syracuse,34,0.41100000000000003,0.353,0.765,3.4,5.5,2.1,0.2,1.7,12.9
330,Tim Frazier,Penn State,135,0.418,0.31,0.774,3.9,4.7,1.5,0.1,2.6,11.4
331,Langston Galloway,St. Joseph's,133,0.43799999999999994,0.426,0.821,4.5,2.2,1.3,0.5,1.2,15.0
332,Aaron Gordon,Arizona,38,0.495,0.35600000000000004,0.42200000000000004,8.0,2.0,0.9,1.0,1.4,12.4
333,Drew Gordon,New Mexico,61,0.535,1.0,0.722,10.8,1.0,0.9,1.1,2.3,13.4
334,Jerami Grant,Syracuse,72,0.486,0.3,0.6409999999999999,4.7,0.9,0.6,0.5,0.9,7.5
335,Erick Green,Virginia Tech,129,0.43700000000000006,0.33799999999999997,0.804,2.6,2.5,1.2,0.2,1.4,13.5
336,JaMychal Green,Alabama,123,0.519,0.17600000000000002,0.711,7.4,1.2,1.0,1.7,2.5,13.5
337,P.J. Hairston,UNC,71,0.38799999999999996,0.349,0.8,3.2,1.0,0.8,0.3,0.9,10.0
338,Gary Harris,Michigan State,69,0.44,0.376,0.7879999999999999,3.3,2.0,1.6,0.3,1.6,14.9
339,Joe Harris,Central Arkansas,15,0.452,0.375,0.0,1.6,0.3,0.2,0.0,0.4,3.1
340,Rodney Hood,Duke,35,0.46399999999999997,0.42,0.807,3.9,2.1,0.7,0.3,1.5,16.1
341,Cory Jefferson,Baylor,130,0.5429999999999999,0.34,0.66,5.6,0.4,0.3,1.3,0.8,8.9
342,Grant Jerrett,Arizona,34,0.409,0.405,0.818,3.6,0.5,0.5,1.0,0.6,5.2
343,Nick Johnson,Arizona,108,0.42100000000000004,0.359,0.7340000000000001,3.7,2.8,1.3,0.6,1.8,12.3
344,Tyler Johnson,Centenary (LA),5,0.33299999999999996,1.0,0.7115301369863017,0.6,0.2,0.2,0.0,0.0,0.6
345,Sean Kilpatrick,Cincinnati,140,0.419,0.34700000000000003,0.78,4.3,2.0,1.2,0.2,1.7,15.3
346,Alex Kirk,Washington State,4,0.4750574555403559,0.333595588235294,0.7115301369863017,0.0,0.3,0.0,0.0,0.0,0.0
347,Zach LaVine,UCLA,37,0.441,0.375,0.691,2.5,1.8,0.9,0.2,1.1,9.4
348,Kalin Lucas,Michigan State,141,0.425,0.377,0.7959999999999999,1.9,4.0,1.0,0.1,2.3,14.2
349,James Michael McAdoo,UNC,108,0.447,0.0,0.569,5.9,1.0,1.2,0.5,1.6,11.4
350,K.J. McDaniels,Clemson,94,0.45,0.313,0.767,4.8,0.9,0.9,1.9,1.5,11.0
351,Doug McDermott,Creighton,145,0.55,0.45799999999999996,0.831,7.5,1.3,0.2,0.1,2.2,21.7
352,Mitch McGary,Michigan,47,0.588,0.0,0.513,6.6,0.8,1.2,0.7,1.3,7.8
353,Jerel McNeal,Marquette,130,0.44,0.34700000000000003,0.7170000000000001,4.7,3.5,2.2,0.5,3.4,15.3
354,Elijah Millsap,Alabama-Birmingham,34,0.435,0.24100000000000002,0.695,9.5,1.8,1.6,0.3,3.5,16.1
355,Eric Moreland,Oregon State,89,0.535,0.33299999999999996,0.531,8.6,1.3,0.8,2.1,1.8,7.2
356,Shabazz Napier,UConn,143,0.41100000000000003,0.375,0.813,4.0,4.5,1.8,0.2,2.4,13.7
357,Nerlens Noel,Kentucky,24,0.59,0.333595588235294,0.529,9.5,1.6,2.1,4.4,1.9,10.5
358,Johnny O'Bryant,LSU,91,0.467,0.222,0.619,7.7,1.3,0.5,0.8,2.9,12.7
359,Jabari Parker,Duke,35,0.473,0.358,0.748,8.7,1.2,1.1,1.2,2.3,19.1
360,Adreian Payne,Michigan State,138,0.526,0.409,0.755,5.3,0.6,0.6,1.0,1.4,8.9
361,Elfrid Payton,Louisiana,100,0.485,0.268,0.611,5.1,4.9,2.0,0.5,3.4,14.3
362,Dwight Powell,Stanford,136,0.46399999999999997,0.289,0.722,6.3,1.8,0.9,0.9,2.1,10.8
363,Julius Randle,Kentucky,40,0.501,0.16699999999999998,0.706,10.4,1.4,0.5,0.8,2.5,15.0
364,Glenn Robinson,Purdue,62,0.479,0.385,0.773,9.7,1.9,1.8,1.0,3.9,27.5
365,JaKarr Sampson,St. John's (NY),66,0.469,0.077,0.607,6.4,1.1,0.9,1.0,1.8,13.9
366,Marcus Smart,Oklahoma State,64,0.413,0.295,0.7509999999999999,5.9,4.5,2.9,0.6,3.0,16.6
367,Russ Smith,Louisville,133,0.413,0.345,0.76,2.7,2.8,1.9,0.1,2.4,14.3
368,Nik Stauskas,Michigan,75,0.467,0.441,0.8320000000000001,2.9,2.3,0.6,0.3,1.5,14.1
369,David Stockton,Gonzaga,138,0.424,0.306,0.7,1.6,3.1,1.2,0.1,1.5,4.8
370,Jarnell Stokes,Tennessee,87,0.53,0.0,0.628,9.6,1.5,0.7,1.1,2.1,13.0
371,Noah Vonleh,Indiana,30,0.523,0.485,0.716,9.0,0.6,0.9,1.4,2.1,11.3
372,T.J. Warren,NC State,70,0.555,0.315,0.654,5.7,1.0,1.5,0.5,1.7,18.5
373,David Wear,UCLA,103,0.47700000000000004,0.413,0.755,5.0,0.8,0.6,0.2,1.0,7.9
374,Travis Wear,UCLA,96,0.517,0.4,0.807,4.7,0.8,0.7,1.0,0.9,9.8
375,Shayne Whittington,Western Michigan,114,0.515,0.16699999999999998,0.76,6.5,0.7,0.5,1.1,1.3,9.8
376,Andrew Wiggins,Kansas,35,0.44799999999999995,0.341,0.775,5.9,1.5,1.2,1.0,2.3,17.1
377,C.J. Wilcox,Washington,131,0.433,0.389,0.84,3.4,1.6,0.9,0.7,1.4,14.4
378,James Young,Kentucky,40,0.40700000000000003,0.349,0.706,4.3,1.7,0.8,0.2,1.9,14.3
379,Steven Adams,Pitt,32,0.5710000000000001,0.333595588235294,0.44299999999999995,6.3,0.6,0.7,2.0,1.1,7.2
380,Chris Babb,Iowa State,67,0.385,0.353,0.7140000000000001,3.8,1.9,1.1,0.2,0.8,8.4
381,Anthony Bennett,UNLV,35,0.5329999999999999,0.375,0.701,8.1,1.0,0.7,1.2,1.9,16.1
382,Vander Blue,Marquette,106,0.429,0.27699999999999997,0.7040000000000001,3.5,2.0,1.0,0.1,2.0,9.3
383,Lorenzo Brown,NC State,101,0.429,0.305,0.741,4.2,5.8,1.7,0.5,3.0,11.6
384,Reggie Bullock,Morgan State,46,0.426,0.1,0.522,2.0,0.4,0.6,0.1,1.8830790568654632,2.8
385,Trey Burke,Michigan,73,0.45,0.36700000000000005,0.777,3.3,5.7,1.3,0.5,2.5,16.9
386,Dwight Buycks,Marquette,68,0.44299999999999995,0.36,0.687,3.0,2.8,1.1,0.0,2.0,7.7
387,Nick Calathes,Florida,72,0.455,0.38,0.715,5.3,6.3,1.8,0.1,3.1,16.3
388,Kentavious Caldwell-Pope,Georgia,64,0.415,0.33899999999999997,0.752,6.1,1.5,1.9,0.4,1.6,15.8
389,Isaiah Canaan,Murray State,132,0.45,0.419,0.8029999999999999,2.8,2.9,1.2,0.1,2.4,15.5
390,Michael Carter-Williams,Syracuse,66,0.39799999999999996,0.307,0.679,3.6,5.2,2.0,0.4,2.3,8.2
391,Dionte Christmas,Temple,130,0.426,0.36,0.778,4.4,2.0,1.2,0.2,2.2,15.7
392,Ian Clark,Belmont,133,0.484,0.425,0.81,2.9,2.2,1.2,0.2,2.1,14.4
393,Robert Covington,Tennessee State,118,0.47600000000000003,0.42200000000000004,0.802,7.4,1.2,1.5,1.3,2.3,14.8
394,Allen Crabbe,California,98,0.446,0.382,0.8190000000000001,5.7,2.2,0.9,0.6,1.9,15.7
395,Seth Curry,Duke,106,0.439,0.42,0.825,2.3,2.0,1.2,0.2,1.4,13.2
396,Troy Daniels,VCU,125,0.389,0.386,0.782,2.1,0.4,0.6,0.1,0.6,7.3
397,Brandon Davies,BYU,135,0.522,0.33299999999999996,0.66,6.2,1.6,1.0,0.9,2.1,12.4
398,Dewayne Dedmon,USC,51,0.52,0.0,0.614,6.4,0.5,0.9,1.7,1.5,7.1
399,Matthew Dellavedova,Saint Mary's,136,0.415,0.37799999999999995,0.86,3.4,5.6,1.1,0.1,2.5,14.2
400,Gorgui Dieng,Louisville,102,0.545,0.33299999999999996,0.64,7.9,1.2,1.0,2.6,1.6,8.3
401,Shane Edwards,Little Rock,62,0.47200000000000003,0.298,0.642,4.7,1.0,0.8,0.6,1.7,9.0
402,Carrick Felix,Arizona State,94,0.456,0.326,0.7040000000000001,4.8,1.3,1.0,0.8,1.7,10.2
403,Jamaal Franklin,San Diego State,85,0.426,0.302,0.78,7.0,1.9,1.0,0.6,2.6,13.7
404,Archie Goodwin,Kentucky,33,0.44,0.266,0.637,4.6,2.7,1.1,0.5,3.1,14.1
405,Justin Hamilton,Florida,113,0.489,0.331,0.7390000000000001,2.6,2.7,1.5,0.3,1.5,6.9
406,Tim Hardaway,UTEP,124,0.486,0.35200000000000004,0.718,2.6,4.5,2.1,0.2,2.0,12.8
407,Elias Harris,Gonzaga,135,0.517,0.35600000000000004,0.723,7.3,1.3,0.9,0.5,1.8,13.8
408,Solomon Hill,Arizona,139,0.48100000000000004,0.375,0.745,5.6,2.2,0.9,0.4,2.1,10.3
409,Scotty Hopson,Tennessee,103,0.444,0.354,0.6709999999999999,3.1,1.3,0.8,0.2,2.1,12.7
410,Robbie Hummel,Purdue,127,0.44299999999999995,0.389,0.841,6.8,2.1,1.0,0.9,1.1,14.0
411,Ryan Kelly,Eastern Illinois,41,0.529,0.0,0.474,1.9,0.4,0.2,0.3,0.6,1.8
412,Shane Larkin,Miami (FL),68,0.43799999999999994,0.375,0.8079999999999999,3.2,3.6,1.8,0.1,2.1,11.2
413,Alex Len,Maryland,60,0.5379999999999999,0.111,0.6629999999999999,7.0,0.8,0.2,2.1,1.6,9.7
414,CJ McCollum,Lehigh,111,0.439,0.377,0.825,6.3,2.7,2.1,0.5,2.4,21.3
415,Ben McLemore,Kansas,37,0.495,0.42,0.87,5.2,2.0,1.0,0.7,2.1,15.9
416,Gal Mekel,Wichita State,62,0.379,0.306,0.809,2.1,2.7,0.4,0.0,2.0,6.7
417,Tony Mitchell,North Carolina A&T,70,0.33299999999999996,0.27399999999999997,0.455,1.5,0.5,0.2,0.1,1.8830790568654632,2.4
418,Tony Mitchell,North Carolina A&T,70,0.33299999999999996,0.27399999999999997,0.455,1.5,0.5,0.2,0.1,1.8830790568654632,2.4
419,Shabazz Muhammad,UCLA,32,0.44299999999999995,0.377,0.711,5.2,0.8,0.7,0.1,1.6,17.9
420,Erik Murphy,Florida,136,0.514,0.435,0.757,3.7,0.7,0.4,0.6,1.0,7.7
421,Toure' Murry,Wichita State,139,0.405,0.311,0.763,4.5,3.1,1.3,0.3,2.4,11.1
422,Mike Muscala,Bucknell,133,0.501,0.313,0.8190000000000001,8.2,1.6,0.4,2.0,1.6,15.3
423,James Nunnally,UCSB,123,0.465,0.386,0.784,5.1,2.0,0.6,0.2,2.2,13.7
424,Victor Oladipo,Indiana,104,0.5379999999999999,0.33799999999999997,0.716,5.2,1.7,1.5,0.5,2.0,10.7
425,Kelly Olynyk,Gonzaga,101,0.594,0.33299999999999996,0.7090000000000001,4.6,1.1,0.5,0.5,1.4,8.9
426,Arinze Onuaku,Syracuse,134,0.648,0.333595588235294,0.395,6.0,0.5,0.7,1.1,1.4,9.2
427,Mason Plumlee,Duke,141,0.574,0.2,0.583,7.7,1.5,0.8,1.4,2.0,9.8
428,Otto Porter,Georgetown,64,0.498,0.355,0.7509999999999999,7.1,2.1,1.5,0.9,1.3,12.8
429,Phil Pressey,Missouri,99,0.395,0.34700000000000003,0.757,3.0,5.9,2.0,0.1,2.7,9.7
430,Glen Rice,Michigan,134,0.569,0.48,0.797,6.4,2.0,0.8,0.3,1.8,18.2
431,Andre Roberson,Colorado,105,0.516,0.35,0.5820000000000001,10.0,1.1,1.6,1.4,1.7,9.6
432,Peyton Siva,Louisville,144,0.41700000000000004,0.29100000000000004,0.737,2.4,4.7,1.8,0.1,2.7,8.4
433,Chris Smith,UConn,127,0.42100000000000004,0.4,0.7609999999999999,2.9,3.4,1.5,0.3,2.3,16.9
434,Tony Snell,New Mexico,104,0.42100000000000004,0.38,0.821,2.4,2.0,0.5,0.3,1.5,9.2
435,James Southerland,Syracuse,112,0.449,0.37,0.74,3.3,0.6,0.9,0.8,0.6,7.9
436,D.J. Stephens,Memphis,129,0.627,0.37,0.633,3.4,0.3,0.5,1.2,0.4,4.0
437,Adonis Thomas,Memphis,55,0.426,0.325,0.745,4.0,1.5,0.6,0.7,1.5,10.7
438,Hollis Thompson,Georgetown,99,0.478,0.44,0.6759999999999999,4.1,1.1,0.8,0.4,1.1,8.7
439,Casper Ware,Long Beach State,131,0.402,0.349,0.784,2.5,4.2,1.6,0.1,2.8,14.1
440,Royce White,Iowa State,34,0.534,0.33299999999999996,0.498,9.3,5.0,1.2,0.9,3.8,13.4
441,Jeff Withey,Kansas,117,0.568,1.0,0.726,5.4,0.6,0.5,2.7,1.2,8.0
442,Nate Wolters,South Dakota State,127,0.45,0.342,0.8029999999999999,4.7,5.3,1.5,0.2,2.2,18.5
443,Cody Zeller,Indiana,72,0.5920000000000001,0.0,0.7559999999999999,7.3,1.3,1.2,1.2,2.0,16.1
444,Quincy Acy,Baylor,139,0.602,0.429,0.708,6.0,0.6,0.7,1.3,1.5,9.8
445,Josh Akognon,Cal State Fullerton,64,0.42200000000000004,0.381,0.895,3.3,1.5,1.2,0.1,2.2,22.0
446,Harrison Barnes,UNC,75,0.43,0.349,0.7340000000000001,5.5,1.3,0.9,0.4,1.9,16.3
447,Will Barton,Memphis,70,0.47100000000000003,0.299,0.733,6.5,2.9,1.5,0.6,2.3,15.2
448,Aron Baynes,Washington State,122,0.546,0.33299999999999996,0.698,5.4,0.3,0.3,0.8,1.2,8.7
449,Kent Bazemore,Old Dominion,140,0.447,0.33399999999999996,0.581,4.6,2.7,1.8,0.5,2.3,10.1
450,Bradley Beal,Florida,37,0.445,0.33899999999999997,0.769,6.7,2.2,1.4,0.8,2.1,14.8
451,Patrick Beverley,Arkansas,70,0.42,0.382,0.73,5.5,2.8,1.5,0.4,2.0,13.0
452,Chris Copeland,Colorado,113,0.431,0.361,0.701,3.8,1.0,0.4,0.8,1.2,7.5
453,Jae Crowder,Marquette,72,0.49200000000000005,0.35,0.6829999999999999,7.6,1.8,1.9,0.9,1.0,14.6
454,Jared Cunningham,Cleveland State,33,0.377,0.32899999999999996,0.75,2.6,0.4,0.4,0.4,0.7,5.2
455,Anthony Davis,Austin Peay,124,0.42,0.311,0.728,4.4,2.3,1.6,0.3,2.0,13.3
456,Andre Drummond,UConn,34,0.5379999999999999,0.0,0.295,7.6,0.4,0.8,2.7,1.5,10.0
457,Kim English,Missouri,141,0.42,0.39399999999999996,0.727,3.0,1.4,1.1,0.2,1.7,11.1
458,Festus Ezeli,Vanderbilt,121,0.562,0.333595588235294,0.584,4.5,0.1,0.3,1.7,1.6,7.7
459,Diante Garrett,Iowa State,128,0.40700000000000003,0.297,0.7290000000000001,2.8,4.8,1.2,0.2,2.8,10.7
460,Draymond Green,Michigan State,145,0.467,0.361,0.687,7.6,2.9,1.2,0.8,1.9,10.5
461,Ben Hansbrough,Notre Dame,69,0.469,0.425,0.78,3.9,4.3,1.1,0.1,2.1,15.1
462,Maurice Harkless,St. John's (NY),32,0.452,0.215,0.6759999999999999,8.6,1.5,1.6,1.4,2.5,15.5
463,John Henson,UNC,109,0.49700000000000005,0.20800000000000002,0.484,8.1,1.0,0.6,2.5,1.5,10.3
464,Justin Holiday,Washington,123,0.44299999999999995,0.34299999999999997,0.736,3.6,1.5,0.8,0.5,1.0,5.3
465,John Jenkins,Vanderbilt,98,0.46799999999999997,0.43799999999999994,0.856,2.7,1.1,0.7,0.3,1.3,16.9
466,Chris Johnson,Dayton,138,0.42700000000000005,0.371,0.826,6.1,1.1,0.8,0.4,1.1,10.6
467,Orlando Johnson,UCSB,93,0.46799999999999997,0.41100000000000003,0.736,5.8,2.7,1.0,0.6,2.6,19.6
468,Darius Johnson-Odom,Marquette,105,0.444,0.40299999999999997,0.722,3.1,2.5,0.9,0.2,2.1,15.7
469,DeQuan Jones,Miami (FL),111,0.44,0.16899999999999998,0.632,2.4,0.5,0.5,0.5,1.1,4.6
470,Kevin Jones,Bradley,9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
471,Perry Jones,Baylor,63,0.522,0.27899999999999997,0.6779999999999999,7.4,1.2,0.7,0.7,2.0,13.7
