2P,2PA,2PP,3P,3P%,3PA,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,G,GS,MP,ORB,PTS,Player,SOS,STL,School,TOV,TRB,year,Position,eFGP,PER,WS
4.9,8.2,0.599,0,0.33221216,0,0.8,0.8,3,4.9,8.2,0.599,1.3,2.6,0.511,71,69,24.8,2.4,11.1,Vernon Macklin,5.647638522,0.5,Florida,1.5,5.5,2012,Forward,61,16.80326241,10
2.5,4.3,0.568,0,0.33221216,0,0.3,1.1,2.3,2.5,4.3,0.568,1.2,2.4,0.512,135,65,16.5,1.5,6.1,Sasha Kaun,8.38,0.4,Kansas,0.8,3.9,2016,Center,56.8,11.8,11.8
3.5,5.9,0.592,0,0,0,0.8,0.7,4,3.5,5.9,0.588,0.8,1.6,0.513,47,12,20.6,2.6,7.8,Mitch McGary,9.85,1.2,Michigan,1.3,6.6,2015,Forward,58.8,25.2,4.9
3.3,5.9,0.563,0.2,0.356,0.7,0.3,1.8,3,3.5,6.5,0.542,1.4,2.7,0.514,66,31,18.7,1.7,8.7,JaVale McGee,0.49,0.5,Nevada,1.6,4.8,2009,Forward,56,5.6,5.6
1.9,3,0.651,0.1,0.133,0.5,0.4,1.1,2,2,3.5,0.574,1.1,2.2,0.516,29,6,15.1,0.8,5.2,Kostas Antetokounmpo,2.7,0.2,Dayton,1.3,2.9,2019,Forward,58.4,13.7,0.7
5.5,8,0.683,0.2,0.533,0.4,1.2,1.4,4.5,5.7,8.5,0.676,1.3,2.5,0.517,35,34,25.3,1.7,12.9,Justin Patton,8.95,0.9,Creighton,1.7,6.2,2018,Center,68.9,25.2,4.3
1.7,2.9,0.591,0,0,0,0.3,2.4,2.1,1.7,2.9,0.589,0.6,1.2,0.519,132,106,19.5,1.2,4,Steven Hill,6.31,0.7,Arkansas,1,3.3,2009,Center,58.9,12.2,12.2
2.1,3.3,0.652,0.5,0.365,1.5,0.8,0.9,2.1,2.7,4.8,0.563,0.9,1.8,0.522,50,10,17.4,1.4,6.8,OG Anunoby,7.53,1,Indiana,1.1,3.5,2018,Forward,62,21.8,3.6
1.1,2.4,0.455,0,0.1,0.2,0.4,0.1,3.687894073,1.1,2.7,0.426,0.5,1,0.522,46,69.2525,27.27375,1.52295082,2.8,Reggie Bullock,-9.3,0.6,Morgan State,1.883665835,2,2014,Forward,43,0.2,0.2
5.7,10.6,0.535,0,0,0.3,1.7,1.8,5,5.7,10.8,0.523,2.8,5.4,0.523,12,10,24.9,1.8,14.2,Walter Sharpe,5.647638522,1.2,Alabama-Birmingham,2.8,6.8,2009,Forward,53.4,3,3
1.3,2.3,0.539,0,0,0.1,0.4,1.4,2.1,1.3,2.4,0.527,0.9,1.7,0.524,38,0,13.2,1.2,3.4,Daniel Orton,6.82,0.6,Kentucky,1,3.3,2012,Forward,52.7,1.7,1.7
4.1,6.9,0.59,0,0.33221216,0,1.6,4.4,6.8,4.1,6.9,0.59,2.3,4.3,0.529,24,24,31.9,2.7,10.5,Nerlens Noel,5.78,2.1,Kentucky,1.9,9.5,2015,Forward,59,27.3,3.9
2.6,4.7,0.546,0.1,0.333,0.3,1.3,2.1,6.2,2.7,5,0.535,1.8,3.3,0.531,89,58,25,2.4,7.2,Eric Moreland,4.64,0.8,Oregon State,1.8,8.6,2015,Forward,54.4,19.4,6.8
0.4,0.9,0.483,0.2,0.353,0.5,0.4,0,0.4,0.6,1.4,0.435,0.3,0.5,0.533,32,0,4.9,0.3,1.7,Sterling Brown,10.11,0.1,Washington,0.3,0.8,2018,Guard,50,0.2,0.2
4.7,7.8,0.6,0.1,0.275,0.4,0.9,1.1,4.3,4.8,8.1,0.586,1.9,3.6,0.533,112,75,26.4,2.6,11.6,Montrezl Harrell,7.64,0.8,Louisville,1.3,6.9,2016,Forward,59.2,24.1,16
2,3.5,0.564,0,0.33221216,0,0.2,1.2,2.6,2,3.5,0.564,0.8,1.5,0.535,29,0,13,1.4,4.7,Ike Anigbogu,6.39,0.2,UCLA,0.8,4,2018,Forward,56.4,17.1,1.3
2.2,4.5,0.489,0.6,0.351,1.8,0.2,0.5,3.1,2.9,6.4,0.449,0.9,1.7,0.535,42,20,19.7,1.6,7.3,Alfonzo McKinnie,5.647638522,0.5,Green Bay,1.1,4.8,2018,Forward,53.1,17.8,5.8
4.9,9,0.541,0,0,0,1.7,0.8,7.1,4.9,9.1,0.538,2.3,4.3,0.539,132,130,30.6,3.9,12.1,Angel Delgado,8.8,0.6,Seton Hall,2.2,11,2019,Center-Forward,53.8,21.3,15.2
3.4,7.5,0.457,1.2,0.375,3.3,2.1,0.5,1.9,4.7,10.8,0.432,1.1,1.9,0.545,34,32,29.5,1,11.6,Avery Bradley,7.38,1.3,Texas,1.5,2.9,2011,Guard,48.9,3.2,3.2
2.8,4.4,0.621,0,0,0,1.1,1.6,4,2.8,4.5,0.619,0.7,1.3,0.547,66,55,21,2.4,6.2,Chinanu Onuaku,8.36,0.8,Louisville,1.7,6.4,2017,Forward,61.9,21,6.2
1.8,3.8,0.472,0,0.33221216,0,0.3,1,3.687894073,1.8,3.8,0.472,1.5,2.7,0.55,52,69.2525,27.27375,1.52295082,5,Frank Jackson,-6.08,0.2,Georgia Southern,1.883665835,4.3,2019,Center,47.2,0.6,0.6
2.7,5.6,0.487,0,0.33221216,0,0.4,0.6,2.5,2.7,5.6,0.487,1.2,2.1,0.551,122,59,21.1,2.2,6.6,Robert Williams,-5.22,0.4,Florida Atlantic,1.2,4.7,2019,Center,48.7,5.2,5.2
4.5,8.2,0.55,0,0,0,0.4,1.3,4.5,4.5,8.2,0.548,2.8,5,0.552,99,91,24.3,2.7,11.8,Gani Lawal,8.64,0.6,Georgia Tech,2.1,7.2,2011,Forward,54.8,10.4,10.4
2.1,3.6,0.576,0,0.33221216,0,0.5,1.8,2.2,2.1,3.6,0.576,0.7,1.3,0.553,63,54,17.3,1.6,4.9,Fab Melo,8.4,0.4,Syracuse,1.1,3.8,2013,Center,57.6,18.1,3.7
3.9,7.9,0.495,0.3,0.229,1.4,3.7,0.2,3.9,4.2,9.3,0.455,2.2,3.9,0.555,70,69,31.3,1.5,10.9,Isaiah Briscoe,9.67,0.9,Kentucky,2.2,5.4,2019,Guard,47.2,14.3,6.3
1.2,1.9,0.664,0,1,0,0.5,0.8,2.2,1.3,1.9,0.665,0.9,1.7,0.555,124,36,14.3,1.6,3.4,Marshall Plumlee,9.62,0.4,Duke,0.5,3.8,2017,Center,66.7,18.5,6.9
1.2,2.1,0.569,0,0.33221216,0,0,0.9,1.9,1.2,2.1,0.569,0.6,1,0.556,27,1,7.5,0.6,3,Cheick Diallo,11.22,0.3,Kansas,0.6,2.5,2017,Forward,56.9,20.5,0.8
4.4,7.7,0.564,0,0,0.1,1.4,1.1,4.4,4.4,7.8,0.559,1.4,2.4,0.558,130,122,26.6,2.5,10.1,Branden Dawson,9.93,1.3,Michigan State,1.7,6.9,2016,Guard,55.9,22.9,15.1
2.1,3.8,0.537,0,0.33221216,0,0.5,0.8,2.4,2.1,3.8,0.537,1.6,2.9,0.559,78,18,15.2,1.9,5.8,Dakari Johnson,9.28,0.3,Kentucky,0.9,4.3,2018,Center,53.7,21.2,5.8
5.1,9.7,0.528,0,0.33221216,0,0.4,1.2,6.9,5.1,9.7,0.528,3,5.3,0.559,66,64,28.6,3.3,13.2,Jordan Williams,6.85,0.7,Maryland,1.3,10.2,2012,Forward,52.8,23.2,9.3
2,4.5,0.456,0,0,0.1,0.5,0.1,1.6,2,4.6,0.445,2,3.6,0.56,28,6,27.27375,1.2,6.1,Josh Richardson,1.81,0.5,North Texas,1,2.8,2016,Forward,44.5,-0.1,-0.1
5.6,8.9,0.635,0,0.33221216,0,0.7,2.1,4.9,5.6,8.9,0.635,3,5.3,0.562,67,58,25.5,2.5,14.3,Daniel Gafford,9.31,0.7,Arkansas,1.7,7.4,2020,Forward,63.5,27.8,8.3
3.3,7,0.473,0.1,1,0.1,1.1,2.1,4.6,3.4,7.1,0.478,2.5,4.4,0.563,16,16,28.1,2.3,9.3,Chris McCullough,7.68,1.7,Syracuse,2.2,6.9,2016,Forward,48.2,18.9,1.4
5.4,9.4,0.579,0,0,0.2,0.8,1.5,5.4,5.4,9.6,0.566,2.5,4.5,0.564,33,33,32.2,3,13.4,Jarrett Allen,12.75,0.6,Texas,2.5,8.4,2018,Forward,56.6,20.3,3.3
5.1,9,0.57,0,0.125,0.1,0.7,1.7,4.3,5.1,9.1,0.566,3,5.3,0.565,99,95,27.1,2.1,13.3,Damian Jones,7.13,0.4,Vanderbilt,2,6.4,2017,Center,56.7,21.7,10.1
1.1,2.2,0.505,0,0.143,0.1,0.3,0.4,1.3,1.1,2.4,0.482,0.7,1.2,0.569,47,4,13.1,1,3,Anthony Brown,7.55,0.3,Oklahoma State,0.4,2.3,2016,Forward,48.7,1.2,1.2
4.3,9.6,0.451,0,0,0.1,1,0.5,3.8,4.3,9.7,0.447,2.8,4.9,0.569,108,73,25,2.1,11.4,James Michael McAdoo,7.83,1.2,UNC,1.6,5.9,2015,Forward,44.7,18.3,8.7
3.9,6.7,0.58,0.4,0.346,1.2,2.8,1.1,5,4.3,7.9,0.545,1.8,3.2,0.569,66,48,29,2.7,10.9,Larry Owens,-2.2,1.6,Oral Roberts,2.3,7.7,2011,Forward,57.1,9.7,9.7
1.1,2.5,0.444,0.6,0.312,1.9,2.3,0,1.7,1.7,4.4,0.388,1.2,2,0.571,108,35,25.5,0.3,5.2,C.J. Williams,-0.16,0.9,Boise State,1.8,1.9,2018,Guard,52.17060976,3.4,3.4
4.3,7.8,0.547,0.1,0.138,1,3.1,0.6,7.5,4.4,8.8,0.503,1.4,2.5,0.573,68,33,26.4,3.3,10.4,Jemerrio Jones,-2.46,1.1,New Mexico State,2.2,10.8,2019,Forward,51,23.3,8.9
0.7,1.4,0.511,0.8,0.36,2.3,0.6,0.3,1.7,1.5,3.7,0.417,0.3,0.5,0.574,128,32,13.2,0.8,4.2,Luke Zeller,6.85,0.2,Notre Dame,0.6,2.5,2013,Forward,52.9,4.8,4.8
2.8,4.6,0.62,0,0.33221216,0,0.9,0.9,3.9,2.8,4.6,0.62,1.5,2.6,0.575,150,103,22.3,2.4,7.2,Amile Jefferson,9.88,0.6,Duke,0.9,6.3,2019,Forward,62,21.2,15.3
3.2,6.1,0.53,0,0.33221216,0,1,0.4,3.1,3.2,6.1,0.53,1.5,2.6,0.577,30,8,17.6,1.6,8,Josh Jackson,5.647638522,0.2,South Carolina State,2.3,4.7,2018,Center,51.7,7.9,7.9
4.1,7.7,0.526,0,0.25,0.2,0.5,2.7,5.2,4.1,7.9,0.52,2.1,3.6,0.577,101,82,23.5,2.5,10.3,Larry Sanders,-0.69,0.6,VCU,1.5,7.7,2011,Forward,52.3,14.6,14.6
3.3,7.4,0.442,0.7,0.277,2.7,2.4,0.3,3,4,10.1,0.398,1.6,2.8,0.579,70,64,24,0.9,10.4,PJ Dozier,7.99,1.3,South Carolina,2.4,3.9,2018,Guard,43.5,14,4
3,6.1,0.486,0.7,0.334,2.1,2.7,0.5,3.2,3.7,8.3,0.447,2,3.5,0.581,140,103,26.3,1.4,10.1,Kent Bazemore,0.42,1.8,Old Dominion,2.3,4.6,2013,Guard,49,16.80326241,14.8
3.2,5.7,0.555,0.5,0.35,1.4,1.1,1.4,7,3.6,7.1,0.516,1.9,3.2,0.582,105,65,28.3,2.9,9.6,Andre Roberson,6.43,1.6,Colorado,1.7,10,2014,Forward,54.9,23.5,13.7
3.7,6.4,0.578,0,0.2,0.1,1.5,1.4,5.4,3.7,6.5,0.574,2.4,4,0.583,141,99,25.9,2.4,9.8,Mason Plumlee,8.87,0.8,Duke,2,7.7,2014,Forward,57.5,22,16.6
5.4,11.2,0.483,0.3,0.161,1.6,3.7,0.4,2.7,5.7,12.8,0.443,4.4,7.5,0.583,35,27,30.3,2.3,16,Tony Wroten,5.27,1.9,Washington,3.8,5,2013,Guard,45.3,20.4,3.2
5.7,10,0.572,0,0.25,0.1,0.9,1.8,7.9,5.8,10.1,0.569,3.2,5.6,0.583,136,122,29.1,4.4,14.8,Kenneth Faried,-4.03,1.7,Morehead State,2.2,12.3,2012,Forward,57,16.80326241,24.3
2.7,4.9,0.562,0,0.33221216,0,0.1,1.7,2.7,2.7,4.9,0.562,2.3,3.9,0.584,121,67,17.9,1.8,7.7,Festus Ezeli,6.64,0.3,Vanderbilt,1.6,4.5,2013,Center,56.2,16.80326241,8.5
2.8,5.5,0.511,1,0.373,2.7,1.8,0.3,3.5,3.8,8.2,0.466,2.1,3.7,0.586,124,74,26.2,1.4,10.8,DeMarcus Nelson,9.64,1.2,Duke,2.1,4.9,2009,Guard,52.7,12.1,12.1
4.8,9.2,0.522,0.1,0.6,0.1,0.3,5.4,6.2,4.9,9.4,0.524,3.2,5.5,0.588,34,23,26.1,2.7,13.1,Hassan Whiteside,1.57,0.6,Marshall,1.9,8.9,2011,Center,52.8,4.5,4.5
5.1,9.3,0.545,1.1,0.313,3.6,2.8,0.9,6.3,6.2,12.9,0.481,2.6,4.4,0.588,59,55,31.3,1.5,16.1,J.R. Giddens,5.647638522,1.2,New Mexico,2.4,7.8,2009,Guard,54,15.4,15.4
7.1,11.4,0.622,0,0.3,0.1,2.1,1,8.3,7.1,11.5,0.618,4.5,7.7,0.589,68,63,30.9,3.6,18.8,Blake Griffin,7.37,1.1,Oklahoma,2.8,11.8,2011,Forward,62,15.2,15.2
2.7,6,0.457,1.4,0.32,4.4,3.9,0.6,5.5,4.1,10.3,0.4,1.5,2.6,0.589,140,127,32.2,1.5,11.2,Terrence Williams,7.65,1.5,Louisville,2.4,6.9,2010,Forward,46.7,15.3,15.3
3.1,6.7,0.464,1,0.303,3.3,3.9,0.2,3.6,4.1,10,0.411,2.7,4.6,0.591,123,123,31.7,1.9,11.9,Sundiata Gaines,6.88,2.1,Georgia,2.6,5.5,2010,Guard,46.1,9.1,9.1
6.5,11,0.596,0,0.33221216,0,1.6,2,5.9,6.5,11,0.596,2.7,4.6,0.592,135,131,30.7,3.5,15.8,Jameel Warney,-4.98,0.8,Stony Brook,1.4,9.4,2018,Forward,59.6,31.3,26.8
