2P,2PA,2PP,3P,3P%,3PA,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,G,GS,MP,ORB,PTS,Player,SOS,STL,School,TOV,TRB,year,Position,eFGP,PER,WS
2.7,6.2,0.44,1.4,0.34700000000000003,4.0,3.1,0.1,3.0,4.1,10.2,0.40399999999999997,4.5,5.6,0.805,129,109.0,31.1,0.5,14.2,Joe Chealey,-1.66,0.9,College of Charleston,1.9,3.5,2019,Guard,47.2,19.4,15.2
1.5,3.5,0.445,0.9,0.327,2.9,4.1,0.1,2.8,2.5,6.3,0.391,1.5,2.0,0.747,139,65.0,25.1,0.4,7.4,Chris Chiozza,9.99,1.4,Florida,1.6,3.2,2019,Guard,46.5,15.7,11.8
1.0,2.2,0.465,0.8,0.434,1.8,0.7,0.1,0.9,1.8,4.0,0.451,0.7,1.0,0.752,109,26.0,13.9,0.3,5.1,Gary Clark,7.64,0.6,Wake Forest,0.8,1.1,2019,Guard,54.8,16.803262411347497,3.2
4.5,8.1,0.552,0.4,0.35,1.1,1.0,1.2,5.1,4.9,9.2,0.528,2.9,3.8,0.772,125,82.0,25.1,2.1,13.1,Bonzie Colson,8.58,1.0,Notre Dame,1.0,7.2,2019,Forward,54.9,29.1,17.4
0.2,0.7,0.35700000000000004,0.1,0.231,0.6,0.2,0.1,0.4,0.4,1.3,0.29600000000000004,0.5,0.8,0.629,43,0.0,3.4,0.2,1.4,Tyler Davis,-6.17,0.2,Dartmouth,0.3,0.6,2019,Forward,35.2,-0.1,-0.1
4.9,9.0,0.541,0.0,0.0,0.0,1.7,0.8,7.1,4.9,9.1,0.5379999999999999,2.3,4.3,0.539,132,130.0,30.6,3.9,12.1,Angel Delgado,8.8,0.6,Seton Hall,2.2,11.0,2019,Center-Forward,53.8,21.3,15.2
2.0,3.9,0.513,1.3,0.397,3.3,1.4,0.6,4.0,3.3,7.2,0.45899999999999996,2.4,2.8,0.856,89,73.0,25.7,1.7,10.3,Marcus Derrickson,7.7,0.5,Georgetown,1.7,5.6,2019,Forward,55.1,17.1,7.7
2.9,6.4,0.45799999999999996,0.7,0.33799999999999997,2.1,1.2,0.4,2.8,3.6,8.5,0.428,2.1,3.4,0.616,37,37.0,24.8,0.9,10.0,Hamidou Diallo,10.73,0.8,Kentucky,1.4,3.6,2019,Guard,47.0,13.8,2.4
2.0,3.6,0.573,1.5,0.37799999999999995,4.0,2.4,0.2,2.9,3.6,7.6,0.469,1.6,2.2,0.705,85,12.0,25.4,1.1,10.2,Donte DiVincenzo,9.74,0.9,Villanova,1.6,4.0,2019,Guard,57.0,18.7,9.2
3.2,6.5,0.49,0.8,0.29,2.9,5.6,0.1,1.4,4.0,9.4,0.428,1.4,2.4,0.596,37,34.0,29.8,0.5,10.3,Trevon Duval,9.71,1.5,Duke,2.8,2.0,2019,Guard,47.3,13.7,3.0
0.6,1.5,0.41600000000000004,0.0,0.0,0.1,1.0,0.1,3.6878940731399776,0.6,1.5,0.39,0.2,0.5,0.423,53,69.2525,27.273750000000003,1.5229508196721295,1.4,Vince Edwards,5.647638522427432,0.3,Western Kentucky,1.88366583541147,1.0,2019,Guard,45.4,16.803262411347497,10.295255474452556
4.7,7.8,0.598,0.0,0.332212160413972,0.0,0.9,1.7,4.6,4.7,7.8,0.598,2.4,3.5,0.693,96,94.0,28.3,1.9,11.7,Drew Eubanks,6.57,0.5,Oregon State,2.0,6.6,2019,Forward,59.8,20.7,9.0
2.4,5.0,0.47600000000000003,1.7,0.377,4.4,2.5,0.9,3.0,4.0,9.4,0.429,2.0,2.7,0.755,105,80.0,29.1,1.3,11.7,Jacob Evans,4.75,1.1,Cincinnati,1.3,4.3,2019,Guard-Forward,51.8,20.3,15.1
3.0,5.2,0.5720000000000001,0.9,0.312,2.8,1.7,0.5,3.2,3.8,7.9,0.48100000000000004,2.1,3.2,0.653,94,69.0,27.7,1.2,10.6,Melvin Frazier,3.37,1.6,Tulane,2.0,4.4,2019,Guard,53.6,17.1,6.5
2.6,6.1,0.423,1.1,0.32299999999999995,3.5,3.5,0.2,2.4,3.7,9.6,0.386,4.5,5.4,0.841,125,119.0,29.2,0.3,13.1,Billy Garrett,7.77,0.9,DePaul,2.6,2.7,2019,Guard,44.5,16.2,8.2
1.7,3.0,0.5770000000000001,0.0,0.332212160413972,0.0,0.3,0.7,2.3,1.7,3.0,0.5770000000000001,0.5,0.9,0.5,26,6.0,11.5,1.6,3.9,Harry Giles,10.91,0.3,Duke,0.7,3.8,2019,Forward,57.7,19.8,1.2
4.3,8.6,0.5,0.6,0.40399999999999997,1.5,5.1,0.5,3.2,4.9,10.2,0.485,3.9,4.7,0.8170000000000001,37,24.0,33.7,0.9,14.4,Shai Gilgeous-Alexander,10.73,1.6,Kentucky,2.7,4.1,2019,Guard,51.6,21.2,5.2
