Player,School,G,GS,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3P%,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,year
Shayne Whittington,Western Michigan,114,74,22.6,3.6,7.1,0.515,3.6,6.7,0.538,0.1,0.4,0.167,2.4,3.2,0.76,2,4.5,6.5,0.7,0.5,1.1,1.3,2.1,9.8,-0.97,2015
D.J. Stephens,Memphis,129,35,13.2,1.6,2.6,0.627,1.5,2.2,0.669,0.1,0.4,0.37,0.6,1,0.633,1.2,2.1,3.4,0.3,0.5,1.2,0.4,1.3,4,3.69,2014
Royce White,Iowa State,34,33,31.5,5.1,9.6,0.534,5,9.3,0.541,0.1,0.4,0.333,3,6,0.498,2.5,6.8,9.3,5,1.2,0.9,3.8,2.6,13.4,7.32,2014
JaJuan Johnson,Purdue,140,119,27.5,5,10.1,0.501,4.9,9.6,0.512,0.1,0.4,0.25,3.5,4.7,0.743,2,4.1,6.1,0.7,0.7,1.9,1.3,1.8,13.7,7.64,2012
Brook Lopez,Stanford,53,43,28,6.1,12.7,0.48,6.1,12.3,0.491,0.1,0.4,0.143,3.7,4.9,0.764,2.3,4.8,7.1,1.1,0.5,1.9,2.1,2.6,16,8,2009
Brandon Clarke,Gonzaga,37,36,28.1,6.9,10.1,0.687,6.8,9.7,0.705,0.1,0.4,0.267,2.9,4.2,0.694,3.1,5.5,8.6,1.9,1.2,3.2,1.5,2.1,16.9,,2020
Johnathan Williams,Charlotte,14,0,,0.1,0.6,0.25,0,0.3,0,0.1,0.3,0.5,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0,0.4,0.2,0.5,8.25,2019
Ivan Rabb,California,65,64,30.6,4.8,8.8,0.544,4.7,8.5,0.549,0.1,0.3,0.409,3.5,5.2,0.666,2.9,6.6,9.4,1.2,0.6,1.1,1.8,3.1,13.2,7.1,2018
David Nwaba,Cal Poly,88,77,26,4.2,9,0.473,4.2,8.7,0.483,0,0.3,0.167,3.4,5.2,0.65,1.9,3.4,5.3,2,1.1,0.6,1.6,2,11.9,1.01,2017
Pascal Siakam,New Mexico State,68,61,32.7,6.5,11.8,0.551,6.4,11.5,0.559,0,0.3,0.176,3.5,5,0.711,3.6,6.1,9.7,1.5,0.9,2,1.9,2.6,16.6,-3.6,2017
Alan Williams,Wake Forest,29,0,2,0.3,0.7,0.429,0.2,0.4,0.5,0.1,0.3,0.333,0.2,0.3,0.75,0,0.3,0.4,0.1,0.1,0,0,0.2,0.9,9.69,2016
Jerami Grant,Syracuse,72,29,21.9,2.6,5.3,0.486,2.5,5.1,0.496,0.1,0.3,0.3,2.2,3.5,0.641,1.7,2.9,4.7,0.9,0.6,0.5,0.9,1.8,7.5,7.91,2015
