Player,School,G,GS,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3P%,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,year
Chinanu Onuaku,Louisville,66,55,21,2.8,4.5,0.619,2.8,4.4,0.621,0,0,0,0.7,1.3,0.547,2.4,4,6.4,1.1,0.8,1.6,1.7,2.7,6.2,8.36,2017
Marshall Plumlee,Duke,124,36,14.3,1.3,1.9,0.665,1.2,1.9,0.664,0,0,1,0.9,1.7,0.555,1.6,2.2,3.8,0.5,0.4,0.8,0.5,1.5,3.4,9.62,2017
Jakob Poeltl,Utah,70,70,26.9,5.1,7.7,0.658,5.1,7.7,0.659,0,0,0,3.1,5.2,0.605,2.8,5.2,8,1.3,0.5,1.7,1.8,2.4,13.3,8.1,2017
Diamond Stone,Maryland,35,22,23.1,4.8,8.4,0.568,4.8,8.4,0.568,0,0,,2.9,3.8,0.761,2.2,3.2,5.4,0.4,0.5,1.6,1.5,2.3,12.5,8.31,2017
Troy Williams,Centenary (LA),37,,,0.6,0.9,0.618,0.6,0.9,0.618,0,0,,0.3,0.4,0.733,,,1.9,0.1,0.2,0.3,,,1.4,-2.12,2017
Cliff Alexander,Kansas,28,6,17.6,2.6,4.6,0.566,2.6,4.6,0.566,0,0,,1.9,2.8,0.671,2,3.3,5.3,0.4,0.2,1.3,1,2,7.1,12.13,2016
Willie Cauley-Stein,Kentucky,105,70,24.5,3.3,5.6,0.593,3.3,5.6,0.593,0,0,,1.4,2.8,0.508,2.4,3.9,6.2,0.9,1.1,2.2,1.2,2.3,8,8.12,2016
Rakeem Christmas,Syracuse,142,140,22,2.9,5.1,0.56,2.9,5.1,0.56,0,0,0,1.6,2.4,0.681,2,3.3,5.3,0.6,0.5,1.7,1.1,2.6,7.4,7.88,2016
Sasha Kaun,Kansas,135,65,16.5,2.5,4.3,0.568,2.5,4.3,0.568,0,0,,1.2,2.4,0.512,1.5,2.3,3.9,0.3,0.4,1.1,0.8,2.3,6.1,8.38,2016
Jahlil Okafor,Duke,38,38,30.1,7.3,11.1,0.664,7.3,11.1,0.664,0,0,,2.6,5.1,0.51,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3,9.87,2016
Willie Reed,Saint Louis,67,54,24.7,4.1,7.1,0.574,4.1,7.1,0.574,0,0,,2,4.1,0.5,2.1,4.2,6.3,0.5,0.5,1.7,1.4,2.4,10.2,1.77,2016
Alex Stepheson,USC,62,60,29.7,3.8,7.3,0.518,3.8,7.3,0.518,0,0,,1.7,3.3,0.505,3.3,5,8.3,0.2,0.3,1.3,1.6,2.3,9.2,,2016
Cameron Bairstow,New Mexico,134,55,20.8,3.1,6,0.517,3.1,6,0.519,0,0,0.333,3,4.2,0.717,1.7,3,4.8,0.8,0.5,0.7,1.2,2.1,9.2,4.93,2015
Sim Bhullar,New Mexico State,65,50,25.3,4.1,6.4,0.633,4.1,6.4,0.633,0,0,,2.1,4.2,0.496,2.6,4.6,7.2,1,0.1,2.9,1.6,2.4,10.2,-0.94,2015
Tarik Black,Kansas,33,15,13.5,2.2,3.2,0.692,2.2,3.2,0.698,0,0,0,1,1.7,0.6,1.2,2.6,3.9,0.3,0.3,0.5,0.7,2.8,5.5,,2015
Jack Cooley,Notre Dame,123,66,19.8,3.2,5.3,0.601,3.2,5.3,0.601,0,0,0.5,1.9,2.8,0.663,2.8,3.6,6.4,0.5,0.4,0.9,0.9,2,8.3,7.09,2015
Drew Gordon,New Mexico,61,53,29.6,5.3,10,0.535,5.3,10,0.534,0,0,1,2.7,3.7,0.722,3.2,7.6,10.8,1,0.9,1.1,2.3,2.7,13.4,,2015
Alex Kirk,Washington State,4,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0.3,0,0,0,0.3,0,7.39,2015
Mitch McGary,Michigan,47,12,20.6,3.5,5.9,0.588,3.5,5.9,0.592,0,0,0,0.8,1.6,0.513,2.6,4,6.6,0.8,1.2,0.7,1.3,2.5,7.8,9.85,2015
Nerlens Noel,Kentucky,24,24,31.9,4.1,6.9,0.59,4.1,6.9,0.59,0,0,,2.3,4.3,0.529,2.7,6.8,9.5,1.6,2.1,4.4,1.9,2.6,10.5,5.78,2015
Jarnell Stokes,Tennessee,87,84,29.7,4.7,8.9,0.53,4.7,8.9,0.532,0,0,0,3.5,5.6,0.628,3.9,5.7,9.6,1.5,0.7,1.1,2.1,2.2,13,6.82,2015
Steven Adams,Pitt,32,32,23.4,3.1,5.5,0.571,3.1,5.5,0.571,0,0,,1,2.2,0.443,2.8,3.5,6.3,0.6,0.7,2,1.1,1.6,7.2,5.63,2014
Gorgui Dieng,Louisville,102,81,27.3,3.3,6.1,0.545,3.3,6,0.546,0,0,0.333,1.7,2.7,0.64,3,4.9,7.9,1.2,1,2.6,1.6,2.7,8.3,8.78,2014
Ryan Kelly,Eastern Illinois,41,0,16.3,0.7,1.2,0.529,0.7,1.2,0.54,0,0,0,0.4,0.9,0.474,0.7,1.2,1.9,0.4,0.2,0.3,0.6,2.2,1.8,-2.08,2014
Arinze Onuaku,Syracuse,134,103,22.8,4,6.2,0.648,4,6.2,0.648,0,0,,1.1,2.9,0.395,2.4,3.6,6,0.5,0.7,1.1,1.4,2.3,9.2,8.2,2014
Jeff Withey,Kansas,117,76,19.8,2.8,4.9,0.568,2.8,4.9,0.567,0,0,1,2.4,3.3,0.726,1.6,3.8,5.4,0.6,0.5,2.7,1.2,1.8,8,8.34,2014
Cody Zeller,Indiana,72,72,29,5.5,9.4,0.592,5.5,9.3,0.594,0,0,0,5,6.6,0.756,2.6,4.7,7.3,1.3,1.2,1.2,2,2.5,16.1,8.09,2014
Aron Baynes,Washington State,122,86,22,3.2,5.9,0.546,3.2,5.9,0.547,0,0,0.333,2.3,3.2,0.698,1.7,3.6,5.4,0.3,0.3,0.8,1.2,2.4,8.7,6.91,2013
Festus Ezeli,Vanderbilt,121,67,17.9,2.7,4.9,0.562,2.7,4.9,0.562,0,0,,2.3,3.9,0.584,1.8,2.7,4.5,0.1,0.3,1.7,1.6,2.6,7.7,6.64,2013
Fab Melo,Syracuse,63,54,17.3,2.1,3.6,0.576,2.1,3.6,0.576,0,0,,0.7,1.3,0.553,1.6,2.2,3.8,0.5,0.4,1.8,1.1,2.3,4.9,8.4,2013
Miles Plumlee,Duke,135,58,15.8,1.9,3.5,0.557,1.9,3.5,0.557,0,0,1,0.9,1.5,0.625,1.8,3,4.8,0.3,0.5,0.6,1,2.3,4.8,8.75,2013
Robert Sacre,Gonzaga,136,111,21.7,3,6,0.504,3,5.9,0.505,0,0,0.25,3.3,4.5,0.735,1.8,3.2,5,0.7,0.5,1.4,1.6,2.3,9.3,3.36,2013
Jarvis Varnado,Mississippi State,141,119,25.5,3.9,6.6,0.589,3.9,6.6,0.591,0,0,0.25,2.2,3.6,0.595,2.5,5.3,7.8,0.6,0.5,4,1.4,2.4,10,5.47,2013
Tyler Zeller,UNC,117,75,23,4.7,8.6,0.543,4.7,8.6,0.544,0,0,0,3.5,4.5,0.775,2.7,4,6.7,0.6,0.7,1.1,1.4,2.3,12.8,8.85,2013
Jeff Foote,Cornell,87,64,26.5,4.2,7.4,0.573,4.2,7.4,0.573,0,0,,2.6,4.3,0.603,2.1,5.2,7.3,2.1,0.4,1.8,2,2.6,11,-3.22,2012
Mickell Gladness,Alabama A&M,85,83,26.8,2.6,5.8,0.442,2.6,5.8,0.445,0,0,0,2.1,3.2,0.667,1.6,5.4,7,0.5,0.6,4.7,1.6,2.6,7.3,-11.93,2012
Jerome Jordan,Tulsa,133,119,24.2,4.1,7.2,0.567,4.1,7.2,0.567,0,0,,3.1,4.5,0.696,2.2,5.2,7.4,0.8,0.4,2.5,2,2.5,11.3,2.63,2012
Vernon Macklin,Florida,71,69,24.8,4.9,8.2,0.599,4.9,8.2,0.599,0,0,,1.3,2.6,0.511,2.4,3,5.5,0.8,0.5,0.8,1.5,2.4,11.1,,2012
Ryan Reid,Florida State,126,66,20.2,1.9,3.8,0.495,1.9,3.8,0.494,0,0,1,1.2,2,0.604,1.7,2.2,3.9,0.7,0.5,0.6,1.6,1.9,5,7.66,2012
Greg Stiemsma,Wisconsin,95,7,10,1.1,2,0.545,1.1,2,0.553,0,0,0,0.5,0.6,0.759,0.7,1.6,2.3,0.8,0.2,1,0.7,1.6,2.7,7.63,2012
Lance Thomas,Duke,140,101,19.7,1.7,3.2,0.525,1.7,3.2,0.525,0,0,,1.3,2.1,0.6,1.8,1.8,3.6,0.5,0.6,0.2,1.2,2.8,4.6,9.51,2012
Jordan Williams,Maryland,66,64,28.6,5.1,9.7,0.528,5.1,9.7,0.528,0,0,,3,5.3,0.559,3.3,6.9,10.2,0.4,0.7,1.2,1.3,2.6,13.2,6.85,2012
Jeff Adrien,UConn,133,101,29.5,4.5,8.8,0.515,4.5,8.7,0.516,0,0,0.333,3,4.9,0.606,2.9,5.6,8.5,1.1,0.6,1.1,1.9,1.8,12.1,7,2011
Solomon Alabi,Florida State,77,68,22,3.5,6.6,0.534,3.5,6.6,0.535,0,0,0,2.1,2.9,0.745,2.1,3.3,5.4,0.4,0.5,2.1,1.7,2.1,9.1,7.34,2011
Cole Aldrich,Kansas,111,71,21,3.5,6.1,0.574,3.5,6.1,0.574,0,0,,2.3,3.2,0.729,2.3,5.5,7.7,0.6,0.5,2.3,1.2,2.1,9.4,8.12,2011
James Anderson,BYU,87,1,6.3,0.7,1.4,0.463,0.7,1.4,0.463,0,0,,0.3,0.7,0.39,0.5,0.7,1.3,0.2,0.1,0.4,0.2,1.6,1.6,4.3,2011
Marcus Cousin,Houston,62,32,22.4,2.8,5.6,0.503,2.8,5.6,0.504,0,0,0,2.2,3,0.735,2.1,4.2,6.3,0.5,0.4,1.5,0.8,2.1,7.9,,2011
Ed Davis,UNC,61,25,22.2,3.4,6.3,0.548,3.4,6.3,0.548,0,0,,2.3,3.7,0.623,2.4,5.3,7.7,0.7,0.4,2.1,1.4,1.9,9.2,9.09,2011
Derrick Favors,Georgia Tech,36,35,27.5,5,8.1,0.611,5,8.1,0.613,0,0,0,2.5,4,0.629,3,5.4,8.4,1,0.9,2.1,2.5,2.6,12.4,9.02,2011
Wesley Johnson,Charleston Southern,52,8,8.8,0.5,1,0.529,0.5,1,0.529,0,0,,0.6,1.2,0.508,0.7,0.8,1.5,0.1,0.2,0.3,0.3,1.4,1.6,-3.91,2011
Gani Lawal,Georgia Tech,99,91,24.3,4.5,8.2,0.548,4.5,8.2,0.55,0,0,0,2.8,5,0.552,2.7,4.5,7.2,0.4,0.6,1.3,2.1,2.4,11.8,8.64,2011
Hamady N'Diaye,Rutgers,124,85,22.1,2.2,4,0.539,2.2,4,0.542,0,0,0,1.5,2.5,0.592,1.8,3.7,5.5,0.4,0.4,2.9,1.4,2.7,5.8,6.36,2011
Dexter Pittman,Texas,134,59,12.2,2.5,4,0.623,2.5,4,0.623,0,0,,1.6,2.6,0.601,2,1.9,3.9,0.3,0.2,0.9,1.1,2,6.6,7.54,2011
Samardo Samuels,Louisville,70,70,27.1,4.8,8.8,0.549,4.8,8.8,0.549,0,0,0,3.8,5.5,0.689,2.9,3,5.9,1.1,0.6,1.2,2.3,2.8,13.5,8.2,2011
DeJuan Blair,Pitt,72,71,26.6,5.5,9.6,0.568,5.5,9.6,0.568,0,0,,2.7,4.3,0.614,4.7,6,10.7,1.1,1.6,1,1.6,2.8,13.6,8.22,2010
Jon Brockman,Washington,131,129,28.7,5.5,10.3,0.534,5.5,10.3,0.534,0,0,0,2.8,4.6,0.612,3.7,6.1,9.8,1,0.8,0.1,2.1,2.8,13.8,7.16,2010
Dante Cunningham,Villanova,139,104,27.2,3.7,7.1,0.524,3.7,7,0.525,0,0,0.333,2.2,3.2,0.693,2.5,3.4,5.9,1,1.2,0.8,1.8,2.8,9.6,8.7,2010
Taj Gibson,USC,105,104,32.7,4.8,8.2,0.58,4.8,8.2,0.58,0,0,,2.9,4.6,0.629,2.9,5.6,8.5,1.4,0.7,2.4,2.5,3.1,12.4,8.54,2010
Jordan Hill,Arizona,97,79,27,5.1,8.8,0.578,5.1,8.8,0.578,0,0,,2.3,3.6,0.636,2.8,5.1,7.9,0.8,0.5,1.4,2,2.7,12.5,9.93,2010
Hasheem Thabeet,UConn,100,99,29.3,3.6,5.9,0.611,3.6,5.9,0.611,0,0,,3.1,5,0.625,3,5.4,8.5,0.4,0.4,4.2,1.8,2.6,10.3,7.14,2010
Joey Dorsey,Memphis,149,112,21.7,2.7,4.4,0.614,2.7,4.4,0.614,0,0,,1.3,3.1,0.42,3.4,4.7,8.1,0.5,1.1,1.8,1.3,3.1,6.7,4.83,2009
Roy Hibbert,Georgetown,136,121,23.3,4.2,7,0.603,4.2,7,0.602,0,0,1,2.4,3.5,0.68,2.3,3.7,5.9,1.3,0.4,1.9,1.5,2.5,10.9,7.54,2009
J.J. Hickson,NC State,31,26,28.7,5.3,8.9,0.591,5.3,8.9,0.593,0,0,0,4.3,6.3,0.677,2.6,5.9,8.5,1,0.7,1.5,2.7,1.9,14.8,9.06,2009
Steven Hill,Arkansas,132,106,19.5,1.7,2.9,0.589,1.7,2.9,0.591,0,0,0,0.6,1.2,0.519,1.2,2.1,3.3,0.3,0.7,2.4,1,2.5,4,6.31,2009
Darnell Jackson,Kansas,125,39,16.6,2.5,4.3,0.58,2.5,4.2,0.583,0,0,0.333,1.8,2.6,0.685,1.7,3.2,4.9,0.5,0.5,0.4,1,1.8,6.8,8.38,2009
DeAndre Jordan,Texas A&M,35,21,20.1,3.2,5.2,0.617,3.2,5.2,0.617,0,0,,1.5,3.4,0.437,1.9,4.1,6,0.4,0.2,1.3,1.6,1.9,7.9,7.46,2009
Robin Lopez,Stanford,67,61,24.3,3.5,6.9,0.511,3.5,6.9,0.511,0,0,0.5,1.9,3.1,0.612,2.6,3.1,5.6,0.8,0.3,2.3,1.6,2.5,9,8,2009
Greg Oden,Ohio State,32,31,28.9,5.9,9.6,0.616,5.9,9.6,0.616,0,0,,3.8,6.1,0.628,3.5,6,9.6,0.7,0.6,3.3,2,2.7,15.7,9.03,2009
Marreese Speights,Florida,69,36,15.4,4,6.2,0.633,4,6.2,0.633,0,0,,1.6,2.3,0.688,1.9,3.6,5.4,0.5,0.3,0.9,1.1,1.7,9.5,6.16,2009
D.J. White,Indiana,99,97,30.6,5.5,9.8,0.562,5.5,9.8,0.563,0,0,0.333,3.5,5.1,0.69,2.4,5.1,7.6,0.9,0.7,2,1.7,2.6,14.6,7.95,2009
Jaxson Hayes,Texas,32,21,23.3,3.8,5.3,0.728,3.8,5.3,0.728,0,0,,2.3,3.1,0.74,1.8,3.3,5,0.3,0.6,2.2,0.9,3.3,10,11.46,2020
Cameron Johnson,Texas State,118,79,19.9,3.7,8,0.464,3.7,8,0.465,0,0,0.333,2.6,4.3,0.611,2.1,3.3,5.4,0.7,0.9,0.5,2,3.2,10.1,-4.62,2020
Daniel Gafford,Arkansas,67,58,25.5,5.6,8.9,0.635,5.6,8.9,0.635,0,0,,3,5.3,0.562,2.5,4.9,7.4,0.7,0.7,2.1,1.7,3,14.3,9.31,2020
