year,id,Age,G,FG%,3P%,FT%,PS/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G
2019,gilgesh01,20,82,0.47600000000000003,0.36700000000000005,0.8,10.8,2.8,3.3,1.170731707317073,0.5487804878048781,1.7195121951219512
2019,goodwbr01,23,16,0.261,0.33299999999999996,0.818,1.4,0.2,0.9,0.0,0.0,0.1875
2019,grahade01,23,46,0.34299999999999997,0.281,0.7609999999999999,4.7,1.4,2.6,0.5,0.043478260869565216,0.6521739130434783
2019,grantdo01,23,3,0.0,0.0,0.4242836158192093,0.0,0.0,0.0,0.0,0.0,0.0
2019,hannadu01,25,2,0.25,0.0,1.0,4.0,0.5,2.5,0.5,0.0,0.5
2019,harteis01,20,28,0.488,0.33299999999999996,0.7859999999999999,1.9,1.7,0.5,0.25,0.42857142857142855,0.4642857142857143
2019,highsha01,22,5,0.4,0.2,0.0,1.8,1.0,0.4,0.2,0.0,0.2
2019,holidaa01,22,50,0.401,0.33899999999999997,0.82,5.9,1.3,1.7,0.42,0.26,0.8
2019,huertke01,20,75,0.419,0.385,0.732,9.7,3.3,2.9,0.8666666666666667,0.3333333333333333,1.4533333333333334
2019,humphis01,21,5,0.28600000000000003,0.273,0.4242836158192093,3.0,2.2,0.0,0.2,0.0,0.0
2019,hutchch01,22,44,0.45899999999999996,0.28,0.605,5.2,4.2,0.8,0.5227272727272727,0.13636363636363635,0.5681818181818182
2019,jacksfr01,20,61,0.434,0.314,0.74,8.1,2.2,1.1,0.4098360655737705,0.03278688524590164,0.7868852459016393
2019,jacksja02,19,58,0.506,0.359,0.7659999999999999,13.8,4.7,1.1,0.896551724137931,1.4137931034482758,1.6896551724137931
2019,jeffeam01,25,12,0.625,0.4242836158192093,0.875,2.3,1.8,0.3,0.25,0.25,0.08333333333333333
2019,johnsal02,22,14,0.25,0.5,0.5,0.9,1.4,0.1,0.07142857142857142,0.21428571428571427,0.0
2019,johnsbj01,23,7,0.5,0.429,1.0,3.3,1.1,0.0,0.2857142857142857,0.0,0.2857142857142857
2019,jonesje01,23,6,0.364,0.2,0.5,4.5,8.2,2.2,1.1666666666666667,0.8333333333333334,0.8333333333333334
2019,kingge03,25,1,0.42428361581920937,0.4242836158192093,0.4242836158192093,0.0,1.0,0.0,0.0,0.0,0.0
2019,knoxke01,19,75,0.37,0.34299999999999997,0.7170000000000001,12.8,4.5,1.1,0.5733333333333334,0.32,1.52
2019,kurucro01,20,63,0.45,0.315,0.7829999999999999,8.5,3.9,0.8,0.6507936507936508,0.3968253968253968,1.2222222222222223
2019,loftoza01,26,1,0.0,0.0,0.4242836158192093,0.0,0.0,0.0,1.0,0.0,1.0
2019,loydjo01,25,12,0.444,0.5,0.818,2.4,0.8,0.5,0.0,0.0,0.16666666666666666
2019,maconda01,23,8,0.37,0.455,0.5710000000000001,3.6,1.5,0.9,0.125,0.0,0.75
2019,macurjp01,23,2,0.33299999999999996,0.0,0.4242836158192093,3.0,1.5,1.0,0.0,0.0,0.0
2019,matenya01,22,2,0.25,0.0,0.4242836158192093,1.0,1.5,0.0,0.5,0.0,0.0
2019,mccalta01,24,1,0.667,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
2019,meltode01,20,50,0.391,0.305,0.75,5.0,2.7,3.2,1.36,0.46,1.5
2019,metuch01,21,29,0.32799999999999996,0.0,0.765,1.8,1.2,0.4,0.20689655172413793,0.06896551724137931,0.5172413793103449
2019,miltosh01,22,20,0.391,0.318,0.7140000000000001,4.4,1.8,0.9,0.4,0.4,0.3
2019,musadz01,19,9,0.409,0.1,0.0,2.1,0.6,0.2,0.2222222222222222,0.0,0.4444444444444444
2019,mykhasv01,21,42,0.32899999999999996,0.326,0.6,3.2,0.9,0.9,0.3333333333333333,0.023809523809523808,0.5
2019,okoboel01,21,53,0.39299999999999996,0.295,0.787,5.7,1.8,2.4,0.6037735849056604,0.1320754716981132,1.3018867924528301
2019,okogijo01,20,74,0.386,0.27899999999999997,0.728,7.7,2.9,1.2,1.1891891891891893,0.44594594594594594,0.8513513513513513
2019,pinsoth01,23,18,0.342,0.261,0.8640000000000001,4.5,2.0,1.2,0.3333333333333333,0.0,1.0
2019,reynoca01,23,19,0.423,0.41200000000000003,0.889,5.0,1.6,0.7,0.3157894736842105,0.10526315789473684,0.2631578947368421
2019,robindu01,24,15,0.391,0.28600000000000003,0.667,3.3,1.3,0.3,0.3333333333333333,0.0,0.26666666666666666
2019,robinje01,21,33,0.4,0.316,0.667,3.4,1.2,0.6,0.3333333333333333,0.09090909090909091,0.3939393939393939
2019,robinmi01,20,66,0.6940000000000001,0.4242836158192093,0.6,7.3,6.4,0.6,0.7878787878787878,2.4393939393939394,0.5303030303030303
2019,sampsbr01,21,14,0.467,0.379,0.667,5.1,1.1,0.7,0.5714285714285714,0.21428571428571427,0.8571428571428571
2019,sextoco01,20,82,0.43,0.402,0.8390000000000001,16.7,2.9,3.0,0.5365853658536586,0.07317073170731707,2.2560975609756095
2019,shamela01,21,79,0.431,0.42200000000000004,0.8059999999999999,9.1,1.7,1.5,0.46835443037974683,0.12658227848101267,0.569620253164557
2019,siberjo01,26,1,1.0,1.0,0.4242836158192093,3.0,0.0,0.0,0.0,0.0,0.0
2019,simonan01,19,20,0.444,0.345,0.563,3.8,0.7,0.7,0.05,0.0,0.55
2019,smithzh01,19,6,0.41200000000000003,0.375,0.75,6.7,2.2,1.7,0.3333333333333333,0.3333333333333333,1.0
2019,spaldra01,21,14,0.532,0.0,0.33299999999999996,3.9,3.4,0.4,0.6428571428571429,0.5714285714285714,0.6428571428571429
2019,spellom01,21,46,0.402,0.344,0.711,5.9,4.2,1.0,0.5652173913043478,0.5434782608695652,0.6739130434782609
2019,terreja01,23,14,0.308,0.235,0.5,2.2,0.4,0.9,0.21428571428571427,0.14285714285714285,0.7142857142857143
2019,terryem01,22,3,0.5710000000000001,0.4242836158192093,0.5,3.3,2.3,0.7,1.0,0.0,0.6666666666666666
2019,thomakh01,22,26,0.319,0.28600000000000003,0.636,2.3,0.8,0.3,0.2692307692307692,0.19230769230769232,0.15384615384615385
2019,trentga02,20,15,0.32,0.23800000000000002,0.429,2.7,0.7,0.3,0.06666666666666667,0.13333333333333333,0.26666666666666666
2019,trieral01,23,64,0.44799999999999995,0.39399999999999996,0.8029999999999999,10.9,3.1,1.9,0.4375,0.21875,1.8125
2019,vandeja01,19,17,0.474,0.0,0.6,1.4,1.4,0.2,0.35294117647058826,0.058823529411764705,0.47058823529411764
2019,wagnemo01,21,43,0.415,0.28600000000000003,0.8109999999999999,4.8,2.0,0.6,0.2558139534883721,0.3023255813953488,0.9069767441860465
2019,walkelo01,20,17,0.348,0.385,0.8,2.6,1.0,0.5,0.4117647058823529,0.17647058823529413,0.23529411764705882
2019,wanambr01,29,36,0.47600000000000003,0.41,0.857,3.9,1.1,1.6,0.3333333333333333,0.05555555555555555,0.5277777777777778
2019,washbju01,27,18,0.33299999999999996,0.20800000000000002,0.75,2.2,2.3,0.8,0.7222222222222222,0.1111111111111111,0.3888888888888889
2019,watanyu01,24,15,0.294,0.125,0.7,2.6,2.1,0.5,0.26666666666666666,0.06666666666666667,0.4
2019,welshth01,22,11,0.5379999999999999,0.429,0.5,1.6,0.4,0.5,0.0,0.0,0.09090909090909091
2019,willijo04,23,24,0.591,0.0,0.563,6.5,4.1,0.5,0.3333333333333333,0.2916666666666667,0.6666666666666666
2019,willike04,24,46,0.384,0.33299999999999996,0.684,6.1,4.8,1.8,0.9782608695652174,0.41304347826086957,0.782608695652174
2019,williro04,21,32,0.706,0.4242836158192093,0.6,2.5,2.5,0.2,0.28125,1.25,0.3125
2019,youngtr01,20,81,0.418,0.324,0.8290000000000001,19.1,3.7,8.1,0.8888888888888888,0.18518518518518517,3.802469135802469
2018,adebaba01,20,151,0.55,0.136,0.728,8.0,6.5,1.9,0.6821192052980133,0.7019867549668874,1.2384105960264902
2018,allenja01,19,152,0.59,0.183,0.732,9.6,7.0,1.0,0.46710526315789475,1.368421052631579,1.2171052631578947
2018,allenka01,25,37,0.436,0.36200000000000004,0.778,5.6,1.7,2.4,0.5135135135135135,0.16216216216216217,0.9459459459459459
2018,anigbik01,19,14,0.33299999999999996,0.4242836158192093,0.833,0.9,0.9,0.1,0.07142857142857142,0.2857142857142857,0.21428571428571427
2018,anunoog01,20,141,0.461,0.35100000000000003,0.605,6.4,2.7,0.7,0.6950354609929078,0.2553191489361702,0.7092198581560284
2018,arcidry01,23,105,0.444,0.363,0.87,5.6,2.3,2.9,0.7428571428571429,0.0380952380952381,0.7238095238095238
2018,artisja01,25,15,0.392,0.276,0.583,5.1,2.5,1.2,0.13333333333333333,0.2,0.5333333333333333
2018,bacondw01,22,96,0.43200000000000005,0.377,0.7609999999999999,5.1,2.2,0.9,0.2916666666666667,0.07291666666666667,0.4270833333333333
2018,balllo01,20,99,0.38,0.315,0.43700000000000006,10.0,6.2,6.4,1.5858585858585859,0.6262626262626263,2.414141414141414
2018,belljo01,23,125,0.57,0.0,0.647,3.9,3.1,1.4,0.44,0.856,0.744
2018,birchkh01,25,92,0.574,0.0,0.6940000000000001,4.5,4.0,0.8,0.358695652173913,0.5434782608695652,0.44565217391304346
2018,birdja01,23,13,0.5770000000000001,0.429,0.462,3.0,1.5,0.6,0.23076923076923078,0.07692307692307693,0.6153846153846154
