,Player,Position,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,eFGP,PER,WS
72,Jorge Gutierrez,"Born:

    December 27, 1988
    

    
      in Chihuahua, Mexico
    
  
mx",18.7,2.7,7.3,.371,0.4,2.0,.218,2.3,5.3,.218,1.8,2.3,.767,0.5,2.2,2.6,2.4,1.2,0.1,1.9,2.8,7.6,0,0,0
73,Josh Magette,Guard,25.3,2.4,6.3,.384,0.9,2.5,.368,1.5,3.8,.368,1.2,1.5,.818,0.4,2.6,3.0,4.5,1.2,0.0,1.6,2.7,7.0,0,0,0
74,Juan Hernangomez,Forward,16.9,2.0,4.6,.443,0.6,1.8,.342,1.4,2.8,.342,1.5,2.0,.720,1.3,2.6,4.0,0.4,0.6,0.3,0.9,1.0,6.1,0,0,0
75,Jusuf Nurkic,Forward,16.9,2.0,4.6,.443,0.6,1.8,.342,1.4,2.8,.342,1.5,2.0,.720,1.3,2.6,4.0,0.4,0.6,0.3,0.9,1.0,6.1,0,0,0
76,Kay Felder,,16.9,2.0,4.6,.443,0.6,1.8,.342,1.4,2.8,.342,1.5,2.0,.720,1.3,2.6,4.0,0.4,0.6,0.3,0.9,1.0,6.1,0,0,0
77,Kevin Seraphin,Forward,14.6,2.8,5.0,.565,0.0,0.0,0,2.8,5.0,0,1.0,1.6,.671,1.5,2.1,3.6,0.6,0.3,0.7,1.2,2.0,6.7,0,0,0
78,Kostas Papanikolaou,Forward,19.6,2.6,5.2,.503,0.7,2.2,.342,1.9,3.1,.342,1.2,1.6,.725,0.9,2.8,3.7,1.4,1.0,0.3,1.0,1.8,7.2,0,0,0
79,Kristaps Porzingis,Forward,17.3,3.2,6.8,.474,0.6,1.8,.326,2.6,5.0,.326,1.2,1.6,.730,1.2,2.3,3.5,0.3,0.7,0.9,1.0,2.5,8.2,0,0,0
80,Kyle Anderson,Forward,17.3,3.2,6.8,.474,0.6,1.8,.326,2.6,5.0,.326,1.2,1.6,.730,1.2,2.3,3.5,0.3,0.7,0.9,1.0,2.5,8.2,0,0,0
81,Larry Drew,"Born:

    March 5, 1990",18.0,1.4,3.8,.377,0.7,1.9,.382,0.7,1.9,.382,0.4,0.9,.500,0.3,1.3,1.6,3.6,0.8,0.0,1.6,2.1,4.1,0,0,0
82,Larry Nance,"Born:

    March 5, 1990",18.0,1.4,3.8,.377,0.7,1.9,.382,0.7,1.9,.382,0.4,0.9,.500,0.3,1.3,1.6,3.6,0.8,0.0,1.6,2.1,4.1,0,0,0
83,Lonnie Walker,"Born:

    March 5, 1990",18.0,1.4,3.8,.377,0.7,1.9,.382,0.7,1.9,.382,0.4,0.9,.500,0.3,1.3,1.6,3.6,0.8,0.0,1.6,2.1,4.1,0,0,0
84,Luc Mbah a Moute,"Born:

    March 5, 1990",18.0,1.4,3.8,.377,0.7,1.9,.382,0.7,1.9,.382,0.4,0.9,.500,0.3,1.3,1.6,3.6,0.8,0.0,1.6,2.1,4.1,0,0,0
85,Lucas Nogueira,Center,13.7,2.1,3.3,.645,0.0,0.1,.333,2.1,3.2,.333,0.9,1.4,.667,1.5,1.8,3.3,0.3,0.5,1.1,0.7,2.0,5.2,0,0,0
86,Luigi Datome,"6-8, 215lb (203cm, 97kg)",19.7,3.1,6.4,.488,1.2,2.9,.409,2.0,3.6,.409,1.5,1.7,.857,1.0,2.5,3.5,0.8,1.1,0.4,1.4,2.1,8.9,0,0,0
87,Luis Montero,"6-8, 215lb (203cm, 97kg)",19.7,3.1,6.4,.488,1.2,2.9,.409,2.0,3.6,.409,1.5,1.7,.857,1.0,2.5,3.5,0.8,1.1,0.4,1.4,2.1,8.9,0,0,0
88,Luka Doncic,Guard,18.7,2.7,5.8,.473,0.9,2.7,.320,1.9,3.1,.320,1.8,2.3,.766,0.8,3.3,4.1,3.2,0.7,0.4,1.8,1.5,8.1,0,0,0
89,Marc Gasol,Center,20.8,3.2,5.1,.622,0.1,0.4,.390,3.1,4.8,.390,2.6,3.8,.676,1.6,3.5,5.1,1.2,0.7,1.1,1.3,1.8,9.1,0,0,0
90,Marcelo Huertas,Guard,21.6,3.1,6.7,.463,0.8,2.3,.351,2.3,4.4,.351,1.5,1.7,.861,0.5,1.6,2.2,3.8,0.9,0.0,1.9,1.7,8.5,0,0,0
91,Mario Hezonja,Forward,13.1,1.7,3.8,.452,0.8,2.1,.383,0.9,1.7,.383,0.4,0.4,.875,0.3,1.7,2.0,1.2,0.5,0.1,1.0,1.5,4.6,0,0,0
